iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.830123	1.576716e+00	-2.439175e+03	-2.437598e+03
1	0.237706	0.0255823	0.808185	1.576716e+00	-2.341040e+03	-2.339463e+03
2	0.237706	0.0255823	0.346262	1.576716e+00	-7.175649e+02	-7.159882e+02
3	0.237706	0.0255823	0.346262	1.576716e+00	-7.175649e+02	-7.159882e+02
4	0.237706	0.0255823	0.346262	1.576716e+00	-7.175649e+02	-7.159882e+02
5	0.237706	0.0255823	0.346262	1.576716e+00	-7.175649e+02	-7.159882e+02
6	0.248378	0.0255823	0.346262	1.525446e+00	-7.117389e+02	-7.102135e+02
7	0.248378	0.0255823	0.346262	1.525446e+00	-7.117389e+02	-7.102135e+02
8	0.248378	0.0255823	0.346262	1.525446e+00	-7.117389e+02	-7.102135e+02
9	0.248378	0.0255823	0.346262	1.525446e+00	-7.117389e+02	-7.102135e+02
10	0.248378	0.0349721	0.346262	1.243093e+00	-2.655782e+02	-2.643351e+02
11	0.248378	0.0349721	0.346262	1.243093e+00	-2.655782e+02	-2.643351e+02
12	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
13	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
14	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
15	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
16	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
17	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
18	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
19	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
20	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
21	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
22	0.248378	0.0349721	0.382089	1.243093e+00	-2.128035e+02	-2.115604e+02
23	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
24	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
25	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
26	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
27	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
28	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
29	0.248378	0.0362418	0.382089	1.209717e+00	-1.938363e+02	-1.926266e+02
30	0.221897	0.0362418	0.463324	1.340605e+00	-1.552049e+02	-1.538643e+02
31	0.221897	0.0362418	0.463324	1.340605e+00	-1.552049e+02	-1.538643e+02
32	0.221897	0.0362418	0.463324	1.340605e+00	-1.552049e+02	-1.538643e+02
33	0.221897	0.0362418	0.463324	1.340605e+00	-1.552049e+02	-1.538643e+02
34	0.221897	0.039009	0.463324	1.270980e+00	-9.938674e+01	-9.811576e+01
35	0.221897	0.039009	0.463324	1.270980e+00	-9.938674e+01	-9.811576e+01
36	0.221897	0.039009	0.463324	1.270980e+00	-9.938674e+01	-9.811576e+01
37	0.221897	0.039009	0.469354	1.270980e+00	-9.853529e+01	-9.726431e+01
38	0.221897	0.039009	0.469354	1.270980e+00	-9.853529e+01	-9.726431e+01
39	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
40	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
41	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
42	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
43	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
44	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
45	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
46	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
47	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
48	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
49	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
50	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
51	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
52	0.185575	0.039009	0.469354	1.473589e+00	-7.829566e+01	-7.682207e+01
53	0.185575	0.039009	0.514779	1.473589e+00	-7.539583e+01	-7.392224e+01
54	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
55	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
56	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
57	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
58	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
59	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
60	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
61	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
62	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
63	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
64	0.185575	0.0397918	0.514779	1.454614e+00	-6.008993e+01	-5.863532e+01
65	0.185575	0.0439049	0.528075	1.359572e+00	-4.922343e+01	-4.786385e+01
66	0.135312	0.0439049	0.561932	1.702875e+00	-5.955998e-01	1.107275e+00
67	0.135312	0.0439049	0.576858	1.702875e+00	5.919231e+00	7.622106e+00
68	0.135312	0.0439049	0.618243	1.702875e+00	9.903475e+00	1.160635e+01
69	0.135312	0.0439049	0.618243	1.702875e+00	9.903475e+00	1.160635e+01
70	0.135312	0.0439049	0.618243	1.702875e+00	9.903475e+00	1.160635e+01
71	0.135312	0.0439049	0.61144	1.702875e+00	1.055560e+01	1.225847e+01
72	0.135312	0.0439049	0.61144	1.702875e+00	1.055560e+01	1.225847e+01
73	0.135312	0.0439049	0.61144	1.702875e+00	1.055560e+01	1.225847e+01
74	0.135312	0.0439049	0.61144	1.702875e+00	1.055560e+01	1.225847e+01
75	0.135312	0.0439049	0.615064	1.702875e+00	1.026830e+01	1.197117e+01
76	0.135312	0.0439049	0.615064	1.702875e+00	1.026830e+01	1.197117e+01
77	0.135312	0.0439049	0.595985	1.702875e+00	1.018699e+01	1.188986e+01
78	0.135312	0.0439049	0.595985	1.702875e+00	1.018699e+01	1.188986e+01
79	0.135312	0.0439049	0.608799	1.702875e+00	1.067746e+01	1.238033e+01
80	0.126766	0.0439049	0.608799	1.771439e+00	9.840797e+00	1.161224e+01
81	0.126766	0.0439049	0.608799	1.771439e+00	9.840797e+00	1.161224e+01
82	0.126766	0.0439049	0.608799	1.771439e+00	9.840797e+00	1.161224e+01
83	0.126766	0.0439049	0.608799	1.771439e+00	9.840797e+00	1.161224e+01
84	0.126766	0.0439049	0.61438	1.771439e+00	1.011853e+01	1.188997e+01
85	0.126766	0.0439049	0.6266	1.771439e+00	9.582659e+00	1.135410e+01
86	0.126766	0.0439049	0.6266	1.771439e+00	9.582659e+00	1.135410e+01
87	0.126766	0.0439049	0.6266	1.771439e+00	9.582659e+00	1.135410e+01
88	0.126766	0.0456637	0.6266	1.732981e+00	2.327228e+01	2.500526e+01
89	0.126766	0.0456637	0.658049	1.732981e+00	2.325835e+01	2.499134e+01
90	0.126766	0.0465598	0.658049	1.713844e+00	2.614947e+01	2.786331e+01
91	0.126766	0.0465598	0.658049	1.713844e+00	2.614947e+01	2.786331e+01
92	0.126766	0.0465598	0.658049	1.713844e+00	2.614947e+01	2.786331e+01
93	0.126766	0.0465598	0.658049	1.713844e+00	2.614947e+01	2.786331e+01
94	0.126766	0.0465598	0.658049	1.713844e+00	2.614947e+01	2.786331e+01
95	0.126766	0.0465598	0.641503	1.713844e+00	2.523408e+01	2.694793e+01
96	0.113204	0.0465598	0.641503	1.830844e+00	2.517815e+01	2.700899e+01
97	0.113204	0.0465598	0.649875	1.830844e+00	2.744999e+01	2.928084e+01
98	0.113204	0.0465598	0.649875	1.830844e+00	2.744999e+01	2.928084e+01
99	0.113204	0.0465598	0.649875	1.830844e+00	2.744999e+01	2.928084e+01
100	0.113204	0.0465598	0.649875	1.830844e+00	2.744999e+01	2.928084e+01
101	0.113204	0.0465598	0.654622	1.830844e+00	2.843070e+01	3.026154e+01
102	0.113204	0.0465598	0.689333	1.830844e+00	2.930079e+01	3.113164e+01
103	0.113204	0.0465598	0.689333	1.830844e+00	2.930079e+01	3.113164e+01
104	0.113204	0.0465598	0.689333	1.830844e+00	2.930079e+01	3.113164e+01
105	0.113204	0.0465598	0.6708	1.830844e+00	3.017247e+01	3.200331e+01
106	0.113204	0.0465598	0.6708	1.830844e+00	3.017247e+01	3.200331e+01
107	0.113204	0.0465598	0.683201	1.830844e+00	2.991398e+01	3.174483e+01
108	0.113204	0.0482271	0.71096	1.796017e+00	3.434370e+01	3.613972e+01
109	0.113204	0.0482271	0.71096	1.796017e+00	3.434370e+01	3.613972e+01
110	0.113204	0.0482271	0.71096	1.796017e+00	3.434370e+01	3.613972e+01
111	0.113204	0.0482271	0.71096	1.796017e+00	3.434370e+01	3.613972e+01
112	0.113204	0.0482271	0.71096	1.796017e+00	3.434370e+01	3.613972e+01
113	0.113204	0.0482271	0.688613	1.796017e+00	3.420455e+01	3.600057e+01
114	0.113204	0.0482271	0.688797	1.796017e+00	3.422270e+01	3.601872e+01
115	0.113204	0.0482271	0.688797	1.796017e+00	3.422270e+01	3.601872e+01
116	0.113204	0.0482271	0.693159	1.796017e+00	3.456693e+01	3.636295e+01
117	0.113204	0.0482271	0.693159	1.796017e+00	3.456693e+01	3.636295e+01
118	0.113204	0.0475065	0.693159	1.810946e+00	3.427399e+01	3.608494e+01
119	0.113204	0.0475065	0.693159	1.810946e+00	3.427399e+01	3.608494e+01
120	0.113204	0.0475065	0.694764	1.810946e+00	3.421010e+01	3.602104e+01
121	0.113204	0.0475065	0.684178	1.810946e+00	3.423387e+01	3.604481e+01
122	0.113204	0.047455	0.684178	1.812022e+00	3.414452e+01	3.595654e+01
123	0.113204	0.047455	0.697364	1.812022e+00	3.388346e+01	3.569548e+01
124	0.113204	0.047455	0.690999	1.812022e+00	3.419076e+01	3.600278e+01
125	0.113204	0.047455	0.690999	1.812022e+00	3.419076e+01	3.600278e+01
126	0.113204	0.047455	0.690702	1.812022e+00	3.419692e+01	3.600894e+01
127	0.113204	0.047455	0.690702	1.812022e+00	3.419692e+01	3.600894e+01
128	0.113204	0.047455	0.690702	1.812022e+00	3.419692e+01	3.600894e+01
129	0.113204	0.047455	0.698981	1.812022e+00	3.375264e+01	3.556467e+01
130	0.113204	0.047455	0.672389	1.812022e+00	3.311443e+01	3.492645e+01
131	0.113204	0.047455	0.672389	1.812022e+00	3.311443e+01	3.492645e+01
132	0.113204	0.047455	0.672389	1.812022e+00	3.311443e+01	3.492645e+01
133	0.113204	0.047455	0.67989	1.812022e+00	3.391138e+01	3.572340e+01
134	0.113204	0.047455	0.696649	1.812022e+00	3.393456e+01	3.574658e+01
135	0.113204	0.047455	0.681976	1.812022e+00	3.404472e+01	3.585674e+01
136	0.113204	0.047455	0.681976	1.812022e+00	3.404472e+01	3.585674e+01
137	0.113204	0.047455	0.681976	1.812022e+00	3.404472e+01	3.585674e+01
138	0.113204	0.047455	0.681976	1.812022e+00	3.404472e+01	3.585674e+01
139	0.113204	0.047455	0.70782	1.812022e+00	3.266876e+01	3.448078e+01
140	0.113204	0.047455	0.70782	1.812022e+00	3.266876e+01	3.448078e+01
141	0.113204	0.047455	0.699035	1.812022e+00	3.374793e+01	3.555996e+01
142	0.113204	0.047455	0.702161	1.812022e+00	3.343402e+01	3.524604e+01
143	0.113204	0.047455	0.679386	1.812022e+00	3.387351e+01	3.568554e+01
144	0.113204	0.0477727	0.679386	1.805409e+00	3.394813e+01	3.575354e+01
145	0.116331	0.0477727	0.678495	1.777456e+00	3.276489e+01	3.454234e+01
146	0.116331	0.0477727	0.678495	1.777456e+00	3.276489e+01	3.454234e+01
147	0.116331	0.0477727	0.677311	1.777456e+00	3.265473e+01	3.443219e+01
148	0.116331	0.0477727	0.677311	1.777456e+00	3.265473e+01	3.443219e+01
149	0.116331	0.0472823	0.677311	1.787677e+00	3.292584e+01	3.471351e+01
150	0.116331	0.0472823	0.677311	1.787677e+00	3.292584e+01	3.471351e+01
151	0.116331	0.0472823	0.677311	1.787677e+00	3.292584e+01	3.471351e+01
152	0.116331	0.047727	0.677311	1.778405e+00	3.274667e+01	3.452508e+01
153	0.116331	0.0483324	0.70455	1.765897e+00	3.193553e+01	3.370143e+01
154	0.116331	0.0483324	0.708674	1.765897e+00	3.163137e+01	3.339726e+01
155	0.116331	0.0482192	0.708674	1.768225e+00	3.178464e+01	3.355286e+01
156	0.116331	0.0482192	0.707267	1.768225e+00	3.192388e+01	3.369210e+01
157	0.116331	0.0482192	0.707267	1.768225e+00	3.192388e+01	3.369210e+01
158	0.116331	0.0482192	0.698182	1.768225e+00	3.244381e+01	3.421204e+01
159	0.116331	0.0482192	0.698182	1.768225e+00	3.244381e+01	3.421204e+01
160	0.116331	0.0482192	0.698182	1.768225e+00	3.244381e+01	3.421204e+01
161	0.116331	0.0482192	0.695583	1.768225e+00	3.246957e+01	3.423780e+01
162	0.116331	0.0472549	0.695583	1.788249e+00	3.199845e+01	3.378669e+01
163	0.116331	0.0472549	0.695583	1.788249e+00	3.199845e+01	3.378669e+01
164	0.116331	0.0472549	0.695583	1.788249e+00	3.199845e+01	3.378669e+01
165	0.116331	0.0472549	0.695583	1.788249e+00	3.199845e+01	3.378669e+01
166	0.108429	0.04776	0.695583	1.849607e+00	3.513046e+01	3.698007e+01
167	0.108429	0.04776	0.695583	1.849607e+00	3.513046e+01	3.698007e+01
168	0.108429	0.04776	0.695583	1.849607e+00	3.513046e+01	3.698007e+01
169	0.108429	0.04776	0.692546	1.849607e+00	3.496747e+01	3.681708e+01
170	0.108429	0.04776	0.692546	1.849607e+00	3.496747e+01	3.681708e+01
171	0.108429	0.04776	0.691327	1.849607e+00	3.488027e+01	3.672988e+01
172	0.108429	0.04776	0.691327	1.849607e+00	3.488027e+01	3.672988e+01
173	0.114307	0.04776	0.691327	1.795740e+00	3.431804e+01	3.611378e+01
174	0.114307	0.04776	0.691327	1.795740e+00	3.431804e+01	3.611378e+01
175	0.114307	0.04776	0.691327	1.795740e+00	3.431804e+01	3.611378e+01
176	0.114307	0.04776	0.691327	1.795740e+00	3.431804e+01	3.611378e+01
177	0.114307	0.04776	0.700573	1.795740e+00	3.397636e+01	3.577210e+01
178	0.114307	0.04776	0.68731	1.795740e+00	3.424514e+01	3.604088e+01
179	0.114307	0.04776	0.68731	1.795740e+00	3.424514e+01	3.604088e+01
180	0.114307	0.0478488	0.68731	1.793900e+00	3.421466e+01	3.600856e+01
181	0.114307	0.0478488	0.68731	1.793900e+00	3.421466e+01	3.600856e+01
182	0.114307	0.0478488	0.68731	1.793900e+00	3.421466e+01	3.600856e+01
183	0.10866	0.0478488	0.68731	1.845602e+00	3.473210e+01	3.657770e+01
184	0.10866	0.0478488	0.68731	1.845602e+00	3.473210e+01	3.657770e+01
185	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
186	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
187	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
188	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
189	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
190	0.10866	0.0478488	0.693299	1.845602e+00	3.529436e+01	3.713997e+01
191	0.106915	0.0481935	0.693299	1.854899e+00	3.535959e+01	3.721449e+01
192	0.106915	0.0481935	0.693299	1.854899e+00	3.535959e+01	3.721449e+01
193	0.106915	0.0481935	0.693299	1.854899e+00	3.535959e+01	3.721449e+01
194	0.106915	0.0481935	0.701315	1.854899e+00	3.617634e+01	3.803124e+01
195	0.106915	0.0481935	0.701315	1.854899e+00	3.617634e+01	3.803124e+01
196	0.106915	0.048217	0.701315	1.854414e+00	3.621592e+01	3.807034e+01
197	0.106915	0.048217	0.701315	1.854414e+00	3.621592e+01	3.807034e+01
198	0.106915	0.0484939	0.701315	1.848725e+00	3.642070e+01	3.826942e+01
199	0.106915	0.0484939	0.710295	1.848725e+00	3.704715e+01	3.889588e+01
200	0.106915	0.0484939	0.700659	1.848725e+00	3.634897e+01	3.819769e+01
