iter	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.279823	0.10982	0.0987957	9.400762e+00	-6.545449e+02	-6.451442e+02
1	0.237706	0.0255823	0.279823	0.10982	0.0987957	9.400762e+00	-6.545449e+02	-6.451442e+02
2	0.237706	0.0387851	0.442985	0.10982	0.0987957	9.020892e+00	-1.030929e+02	-9.407200e+01
3	0.237706	0.0387851	0.442985	0.10982	0.101282	9.020892e+00	-1.007282e+02	-9.170729e+01
4	0.219698	0.0387851	0.442985	0.10982	0.101282	9.111956e+00	-8.930864e+01	-8.019669e+01
5	0.219698	0.0387851	0.442985	0.10987	0.108167	9.111956e+00	-8.434041e+01	-7.522846e+01
6	0.219698	0.0387851	0.442985	0.10987	0.108167	9.111956e+00	-8.434041e+01	-7.522846e+01
7	0.219698	0.0387851	0.442985	0.10987	0.109956	9.111956e+00	-8.324279e+01	-7.413083e+01
8	0.219698	0.0387851	0.442985	0.10987	0.109956	9.111956e+00	-8.324279e+01	-7.413083e+01
9	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
10	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
11	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
12	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
13	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
14	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
15	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
16	0.219698	0.0387851	0.484393	0.10987	0.109691	9.111956e+00	-7.750670e+01	-6.839474e+01
17	0.219698	0.0387851	0.484393	0.10987	0.109691	9.111956e+00	-7.750670e+01	-6.839474e+01
18	0.219698	0.0387851	0.484393	0.10987	0.10965	9.111956e+00	-7.752492e+01	-6.841296e+01
19	0.219698	0.0387851	0.484393	0.10987	0.10965	9.111956e+00	-7.752492e+01	-6.841296e+01
20	0.219698	0.0387851	0.484393	0.10987	0.10965	9.111956e+00	-7.752492e+01	-6.841296e+01
21	0.219698	0.0387851	0.484393	0.108727	0.10965	9.111956e+00	-7.931842e+01	-7.020646e+01
22	0.219698	0.0387851	0.484393	0.108727	0.108938	9.111956e+00	-7.963878e+01	-7.052682e+01
23	0.219698	0.0387851	0.484393	0.108029	0.108938	9.111956e+00	-8.076575e+01	-7.165379e+01
24	0.219698	0.0387851	0.484393	0.107789	0.108762	9.111956e+00	-8.123861e+01	-7.212665e+01
25	0.219698	0.0387851	0.484393	0.107789	0.109912	9.111956e+00	-8.072238e+01	-7.161042e+01
26	0.219698	0.0387851	0.484393	0.107789	0.109912	9.111956e+00	-8.072238e+01	-7.161042e+01
