iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
0	0.419154	0.435497	0.912774	0.0727445	0.426992	0.099177	0.107916	1.190393e+01	-5.871640e+03	-5.859736e+03
1	0.419154	0.435497	0.912774	0.0727445	0.426992	0.10902	0.107916	1.190393e+01	-4.954922e+03	-4.943018e+03
2	0.419154	0.647401	0.912774	0.0727445	0.448698	0.10902	0.107916	9.267335e+00	-4.835615e+03	-4.826348e+03
3	0.448141	0.647401	0.912774	0.0727445	0.53555	0.10902	0.107916	9.454345e+00	-4.478014e+03	-4.468559e+03
4	0.374435	0.669646	0.912774	0.0727445	0.53555	0.10902	0.107916	8.935904e+00	-4.478014e+03	-4.469078e+03
5	0.376171	0.634373	0.912774	0.0727445	0.619377	0.10902	0.109418	9.072634e+00	-4.246165e+03	-4.237092e+03
6	0.390929	0.634373	0.912774	0.0727445	0.619377	0.10902	0.109418	9.155427e+00	-4.246165e+03	-4.237009e+03
7	0.472858	0.723013	0.912774	0.0727445	0.658719	0.10902	0.109418	9.272704e+00	-4.176234e+03	-4.166962e+03
8	0.472858	0.723013	0.912774	0.0727445	0.677696	0.10902	0.109418	9.272704e+00	-4.148268e+03	-4.138995e+03
9	0.472858	0.859726	0.912774	0.040326	0.677696	0.10902	0.109418	9.435553e+00	-1.171734e+03	-1.162299e+03
10	0.472858	0.875559	0.712931	0.040326	0.601955	0.109325	0.109418	9.739850e+00	-8.120288e+02	-8.022889e+02
11	0.595011	0.96549	0.712931	0.040326	0.601955	0.109342	0.109418	1.008685e+01	-8.119075e+02	-8.018207e+02
12	0.595011	0.99469	0.712931	0.040326	0.601955	0.10968	0.109418	1.001099e+01	-8.095807e+02	-7.995697e+02
13	0.595011	0.708921	0.712931	0.040326	0.601955	0.109993	0.109418	1.126624e+01	-8.074412e+02	-7.961749e+02
14	0.589944	0.936021	0.712931	0.040326	0.601955	0.109993	0.109418	1.014256e+01	-8.074412e+02	-7.972986e+02
15	0.589944	0.930002	0.712931	0.040326	0.601955	0.109993	0.109418	1.016010e+01	-8.074412e+02	-7.972811e+02
16	0.589944	0.956511	0.712931	0.040326	0.601955	0.109993	0.109418	1.008503e+01	-8.074412e+02	-7.973561e+02
17	0.570784	0.893278	0.712931	0.040326	0.601955	0.109993	0.109418	1.016747e+01	-8.074412e+02	-7.972737e+02
18	0.570784	0.645034	0.712931	0.040326	0.601955	0.109993	0.109418	1.163612e+01	-8.074412e+02	-7.958051e+02
19	0.477267	0.645034	0.712931	0.040326	0.57579	0.109993	0.109418	1.062387e+01	-7.487031e+02	-7.380793e+02
20	0.540626	0.645034	0.712931	0.040326	0.57579	0.109993	0.109418	1.122734e+01	-7.487031e+02	-7.374758e+02
21	0.505	0.645034	0.712931	0.040326	0.57579	0.109993	0.109418	1.085907e+01	-7.487031e+02	-7.378441e+02
22	0.505	0.645034	0.503095	0.040326	0.549844	0.109993	0.109418	1.132536e+01	-4.851782e+02	-4.738529e+02
23	0.505	0.804662	0.503095	0.040326	0.549844	0.109992	0.109418	1.056459e+01	-4.851839e+02	-4.746193e+02
24	0.505	0.804662	0.503095	0.040326	0.549844	0.109992	0.109418	1.056459e+01	-4.851839e+02	-4.746193e+02
25	0.505	0.95575	0.503095	0.040326	0.549844	0.109992	0.109418	1.015633e+01	-4.851839e+02	-4.750276e+02
26	0.52891	0.89826	0.503095	0.040326	0.549844	0.109992	0.109418	1.040501e+01	-4.851839e+02	-4.747789e+02
27	0.52891	0.860521	0.503095	0.040326	0.533201	0.109992	0.109165	1.051279e+01	-4.595202e+02	-4.490074e+02
28	0.52891	0.999622	0.261225	0.040326	0.533851	0.109992	0.109709	1.097711e+01	-1.322798e+02	-1.213027e+02
29	0.512038	0.894122	0.261225	0.040326	0.527271	0.109858	0.109664	1.115053e+01	-1.277854e+02	-1.166349e+02
30	0.458407	0.903577	0.261225	0.040326	0.487095	0.109858	0.109911	1.089344e+01	-1.089941e+02	-9.810071e+01
31	0.458407	0.901883	0.129528	0.040326	0.487095	0.109858	0.109911	1.167937e+01	-7.832621e+01	-6.664684e+01
32	0.458407	0.909969	0.129528	0.040326	0.487095	0.109974	0.109228	1.166130e+01	-7.866082e+01	-6.699952e+01
33	0.458407	0.79501	0.129528	0.040326	0.487095	0.109143	0.107931	1.195511e+01	-8.070101e+01	-6.874590e+01
34	0.463406	0.840996	0.129528	0.040326	0.498181	0.109143	0.10837	1.184948e+01	-7.016989e+01	-5.832041e+01
35	0.413072	0.726756	0.129528	0.040326	0.505745	0.109143	0.108655	1.194524e+01	-6.415414e+01	-5.220890e+01
36	0.400661	0.681174	0.129528	0.040326	0.535462	0.109143	0.105461	1.203608e+01	-4.963373e+01	-3.759765e+01
37	0.445034	0.559178	0.129528	0.040326	0.535462	0.109143	0.104275	1.301216e+01	-4.991729e+01	-3.690513e+01
38	0.514706	0.559178	0.129528	0.040326	0.534016	0.109516	0.104003	1.408891e+01	-5.003868e+01	-3.594976e+01
39	0.519519	0.588124	0.129528	0.040326	0.540193	0.109516	0.105472	1.366538e+01	-4.766963e+01	-3.400426e+01
40	0.519519	0.588124	0.129528	0.040326	0.559426	0.109516	0.107904	1.366538e+01	-4.426078e+01	-3.059541e+01
41	0.482288	0.562391	0.129528	0.040326	0.559426	0.109827	0.108384	1.343580e+01	-4.381997e+01	-3.038416e+01
42	0.482288	0.562391	0.129528	0.040326	0.549999	0.109827	0.105353	1.343580e+01	-4.507531e+01	-3.163951e+01
43	0.482288	0.565529	0.129528	0.040326	0.549999	0.109827	0.105638	1.339737e+01	-4.503986e+01	-3.164249e+01
44	0.482288	0.571043	0.129528	0.040326	0.549999	0.109827	0.10729	1.333323e+01	-4.484564e+01	-3.151240e+01
45	0.412032	0.571043	0.129528	0.040326	0.549999	0.109827	0.106991	1.262289e+01	-4.487940e+01	-3.225652e+01
46	0.412032	0.571043	0.129528	0.040326	0.549999	0.109977	0.108003	1.262289e+01	-4.457438e+01	-3.195149e+01
47	0.34883	0.665378	0.129528	0.0462136	0.549999	0.10892	0.106717	1.169978e+01	-1.977473e+01	-8.074952e+00
48	0.376161	0.733428	0.129528	0.0462136	0.585073	0.107369	0.105253	1.162165e+01	7.453066e+00	1.907472e+01
49	0.28879	0.829541	0.129528	0.0462136	0.590031	0.107352	0.105811	1.107610e+01	1.040153e+01	2.147763e+01
50	0.286525	0.653623	0.129528	0.0448244	0.631748	0.107572	0.107832	1.149023e+01	2.095051e+01	3.244074e+01
51	0.314558	0.653623	0.129528	0.0448244	0.631748	0.108118	0.1007	1.160975e+01	2.121042e+01	3.282017e+01
52	0.327434	0.653623	0.129528	0.0448244	0.631748	0.108118	0.10369	1.166743e+01	2.117576e+01	3.284319e+01
53	0.390513	0.635705	0.129528	0.0448244	0.608658	0.106315	0.102038	1.205135e+01	1.930473e+01	3.135608e+01
54	0.347885	0.6772	0.129528	0.0448244	0.608658	0.106315	0.0977991	1.168877e+01	1.912492e+01	3.081369e+01
55	0.382273	0.6772	0.129528	0.0448244	0.619459	0.107387	0.0934574	1.185323e+01	2.066957e+01	3.252280e+01
56	0.35133	0.743385	0.129528	0.0448244	0.619459	0.109917	0.0914488	1.151968e+01	2.111432e+01	3.263400e+01
57	0.476315	0.743385	0.129528	0.0448244	0.619459	0.105468	0.095962	1.211760e+01	2.030878e+01	3.242639e+01
58	0.509299	0.806687	0.129528	0.0448244	0.633002	0.105585	0.0960163	1.207514e+01	2.050244e+01	3.257758e+01
59	0.45885	0.820079	0.129528	0.0448244	0.633002	0.107297	0.096114	1.178280e+01	2.094039e+01	3.272319e+01
60	0.464103	0.684324	0.129528	0.0448244	0.633002	0.106192	0.0980025	1.228743e+01	2.067687e+01	3.296430e+01
61	0.524309	0.684324	0.129528	0.0448244	0.633002	0.102002	0.0992064	1.272597e+01	1.949719e+01	3.222316e+01
62	0.524309	0.678749	0.129528	0.0448244	0.633002	0.101803	0.0975071	1.276144e+01	1.943215e+01	3.219359e+01
63	0.524309	0.638541	0.129528	0.0448244	0.633002	0.100455	0.0988145	1.306301e+01	1.900626e+01	3.206927e+01
64	0.583306	0.638541	0.129528	0.0448244	0.610494	0.0985923	0.103444	1.392205e+01	1.744642e+01	3.136848e+01
65	0.583306	0.75036	0.129528	0.0448244	0.610494	0.0963572	0.10335	1.281534e+01	1.666070e+01	2.947604e+01
66	0.59714	0.75036	0.129528	0.0448244	0.629539	0.0972575	0.104811	1.293554e+01	1.802792e+01	3.096346e+01
67	0.594605	0.672415	0.129528	0.0448244	0.629539	0.097413	0.106761	1.360687e+01	1.804311e+01	3.164998e+01
68	0.594605	0.704719	0.129528	0.0448244	0.629539	0.0980125	0.106223	1.325963e+01	1.827231e+01	3.153194e+01
69	0.554032	0.704719	0.129528	0.0448244	0.629539	0.0965766	0.104306	1.285055e+01	1.778253e+01	3.063308e+01
70	0.554032	0.704719	0.129528	0.0448244	0.629539	0.0979772	0.0971863	1.285055e+01	1.832749e+01	3.117804e+01
71	0.488617	0.704719	0.129528	0.0448244	0.626771	0.0997327	0.0932674	1.235314e+01	1.888840e+01	3.124154e+01
72	0.439921	0.700518	0.129528	0.0448244	0.626771	0.0986718	0.0938216	1.207495e+01	1.855102e+01	3.062598e+01
73	0.356004	0.702813	0.129528	0.0448244	0.632611	0.0974507	0.0902027	1.164954e+01	1.780159e+01	2.945113e+01
74	0.37496	0.702813	0.129528	0.0448244	0.632611	0.0974507	0.0920136	1.173562e+01	1.787305e+01	2.960868e+01
75	0.294745	0.725443	0.129528	0.0448244	0.632611	0.101184	0.0938245	1.134204e+01	1.920789e+01	3.054993e+01
76	0.276116	0.725443	0.129528	0.0448244	0.632611	0.101664	0.0950025	1.127362e+01	1.938336e+01	3.065699e+01
77	0.32767	0.859427	0.129528	0.0448244	0.635317	0.100547	0.0949812	1.117907e+01	1.882643e+01	3.000550e+01
78	0.311648	0.892662	0.129528	0.0448244	0.635317	0.100547	0.0976192	1.106693e+01	1.885298e+01	2.991991e+01
79	0.347061	0.972305	0.129528	0.0448244	0.616734	0.103	0.0976192	1.104638e+01	1.945779e+01	3.050417e+01
80	0.504345	0.992889	0.129528	0.0448244	0.616734	0.102963	0.0976192	1.156870e+01	1.944751e+01	3.101620e+01
81	0.553193	0.804283	0.129528	0.0448244	0.616734	0.102005	0.100189	1.233807e+01	1.923929e+01	3.157736e+01
82	0.553193	0.622456	0.129528	0.0448244	0.616734	0.103946	0.103349	1.362598e+01	1.981487e+01	3.344085e+01
83	0.553193	0.622456	0.129528	0.0448244	0.616734	0.104978	0.0992907	1.362598e+01	2.002780e+01	3.365378e+01
84	0.553193	0.622456	0.129528	0.0448244	0.61431	0.102864	0.100183	1.362598e+01	1.921270e+01	3.283868e+01
85	0.553193	0.622456	0.129528	0.0448244	0.61431	0.102554	0.0993555	1.362598e+01	1.910410e+01	3.273008e+01
86	0.581691	0.805869	0.129528	0.0448244	0.61431	0.102142	0.100847	1.251735e+01	1.902414e+01	3.154149e+01
87	0.606054	0.950287	0.129528	0.0448244	0.625937	0.103896	0.10036	1.214848e+01	2.024885e+01	3.239733e+01
88	0.622056	0.950287	0.129528	0.0448244	0.625937	0.10961	0.104004	1.223754e+01	2.161513e+01	3.385267e+01
89	0.403742	0.833579	0.129528	0.0448244	0.636707	0.104351	0.108924	1.151192e+01	1.970770e+01	3.121962e+01
90	0.454084	0.833579	0.129528	0.0448244	0.636707	0.102064	0.108341	1.172470e+01	1.904161e+01	3.076631e+01
91	0.462173	0.673367	0.129528	0.0448244	0.636707	0.103797	0.104796	1.232570e+01	1.966382e+01	3.198951e+01
92	0.539927	0.673367	0.129528	0.0448244	0.636707	0.103678	0.102723	1.294097e+01	1.966858e+01	3.260955e+01
93	0.507119	0.744401	0.129528	0.0448244	0.61854	0.105396	0.102723	1.229649e+01	2.033850e+01	3.263499e+01
94	0.524234	0.850994	0.129528	0.0448244	0.61854	0.109391	0.100919	1.201185e+01	2.124523e+01	3.325708e+01
95	0.524234	0.857744	0.129528	0.0448244	0.61854	0.108558	0.0992361	1.199141e+01	2.104090e+01	3.303231e+01
96	0.482237	0.80541	0.129528	0.0448244	0.61854	0.10947	0.0979426	1.193830e+01	2.120832e+01	3.314662e+01
