iter	ka(1)	ke(1)	F(1)	CV_C_cen(1)	CV_AUC(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.279823	0.149098	0.0939787	6.181886e+00	-4.251872e+02	-4.190053e+02
4	0.219698	0.0255823	0.443764	0.149098	0.106412	6.272950e+00	-8.424219e+01	-7.796924e+01
8	0.219698	0.0255823	0.443764	0.149348	0.127019	6.272950e+00	-8.380696e+01	-7.753401e+01
12	0.219698	0.0255823	0.443764	0.149348	0.130238	6.272950e+00	-8.388109e+01	-7.760814e+01
16	0.219698	0.0255823	0.443764	0.149348	0.135633	6.272950e+00	-8.404516e+01	-7.777221e+01
20	0.219698	0.0255823	0.432729	0.149348	0.123312	6.272950e+00	-8.125903e+01	-7.498608e+01
24	0.219698	0.027056	0.432729	0.149348	0.143333	6.223724e+00	-7.602633e+01	-6.980261e+01
28	0.219698	0.0282477	0.428995	0.149348	0.119793	6.185438e+00	-7.139032e+01	-6.520488e+01
32	0.219698	0.0287764	0.428655	0.149348	0.0946524	6.168860e+00	-7.245479e+01	-6.628593e+01
36	0.209503	0.030642	0.428655	0.149348	0.147389	6.166572e+00	-6.376259e+01	-5.759602e+01
40	0.209503	0.0334258	0.494442	0.149348	0.147334	6.086934e+00	-5.466174e+01	-4.857480e+01
44	0.144189	0.0367322	0.494442	0.149348	0.141713	6.411501e+00	-3.675026e+01	-3.033876e+01
48	0.144189	0.0399612	0.494442	0.14949	0.142083	6.331477e+00	-3.153256e+01	-2.520108e+01
52	0.144189	0.0399612	0.552225	0.142978	0.128582	6.331477e+00	-1.374156e+01	-7.410080e+00
56	0.154874	0.0399612	0.551922	0.145981	0.106196	6.254571e+00	-1.398369e+01	-7.729115e+00
60	0.154874	0.0417402	0.581741	0.14664	0.116266	6.212676e+00	-7.975071e+00	-1.762395e+00
64	0.154874	0.0417402	0.559646	0.148397	0.120867	6.212676e+00	-8.321120e+00	-2.108444e+00
68	0.148987	0.0417402	0.596966	0.147637	0.11082	6.254484e+00	-6.260542e+00	-6.057592e-03
72	0.148987	0.044386	0.601365	0.149309	0.104792	6.194764e+00	-2.073999e+00	4.120764e+00
76	0.128473	0.044386	0.624294	0.141331	0.106953	6.351976e+00	7.521142e+00	1.387312e+01
80	0.128473	0.044386	0.624294	0.145908	0.134689	6.351976e+00	6.399741e+00	1.275172e+01
84	0.137834	0.0458517	0.624294	0.136913	0.119496	6.245998e+00	3.708183e+00	9.954181e+00
88	0.137834	0.0458517	0.624294	0.138304	0.0936037	6.245998e+00	2.496983e+00	8.742981e+00
92	0.137834	0.0438858	0.597894	0.132441	0.0981558	6.288922e+00	9.926368e-01	7.281558e+00
96	0.137834	0.0435324	0.597894	0.147584	0.127851	6.296802e+00	2.328946e+00	8.625747e+00
100	0.125081	0.0451592	0.601279	0.121973	0.110743	6.363017e+00	1.694854e+00	8.057872e+00
104	0.125081	0.0451592	0.647135	0.116963	0.087974	6.363017e+00	9.243927e+00	1.560694e+01
108	0.125081	0.0467325	0.642452	0.141298	0.133204	6.329320e+00	9.659844e+00	1.598916e+01
112	0.125081	0.047714	0.703209	0.146508	0.121756	6.308758e+00	8.178758e+00	1.448752e+01
116	0.101684	0.0473018	0.662371	0.145077	0.130698	6.529137e+00	6.961474e+00	1.349061e+01
120	0.111205	0.0470867	0.689274	0.145487	0.0983804	6.443108e+00	1.617607e+01	2.261918e+01
124	0.111205	0.0476369	0.697685	0.126057	0.0998686	6.431608e+00	1.800359e+01	2.443520e+01
128	0.111205	0.0476369	0.697685	0.108773	0.134012	6.431608e+00	1.608201e+01	2.251362e+01
132	0.111205	0.0476369	0.700875	0.115367	0.135494	6.431608e+00	1.578692e+01	2.221853e+01
136	0.111205	0.0479413	0.692961	0.116197	0.11798	6.425292e+00	1.746756e+01	2.389285e+01
140	0.111205	0.0487449	0.712679	0.096617	0.0920449	6.408776e+00	1.807376e+01	2.448253e+01
144	0.111205	0.0478854	0.702531	0.104101	0.0915803	6.426451e+00	1.894892e+01	2.537537e+01
148	0.111205	0.048054	0.721512	0.129422	0.0795289	6.422964e+00	1.698683e+01	2.340980e+01
152	0.111205	0.0488232	0.727506	0.095143	0.10492	6.407177e+00	1.697675e+01	2.338393e+01
156	0.111205	0.0482954	0.699448	0.126801	0.0982726	6.417987e+00	1.820827e+01	2.462626e+01
160	0.111205	0.0485361	0.714495	0.12402	0.0780762	6.413046e+00	1.798743e+01	2.440048e+01
164	0.113211	0.0476184	0.677046	0.141838	0.0769796	6.413723e+00	1.470247e+01	2.111619e+01
168	0.113211	0.0480684	0.688614	0.10217	0.084466	6.404396e+00	1.701014e+01	2.341454e+01
172	0.113211	0.0475696	0.688614	0.114561	0.115483	6.414739e+00	1.696108e+01	2.337582e+01
176	0.113211	0.0476486	0.682453	0.141235	0.087884	6.413096e+00	1.645432e+01	2.286742e+01
180	0.11314	0.0474071	0.675625	0.119325	0.0778999	6.418775e+00	1.555069e+01	2.196947e+01
184	0.116948	0.0478446	0.672965	0.127293	0.0645013	6.375690e+00	9.700594e+00	1.607628e+01
188	0.106905	0.0478103	0.725709	0.126707	0.0725294	6.468083e+00	1.678910e+01	2.325718e+01
192	0.106905	0.0483043	0.716972	0.142117	0.101686	6.457880e+00	1.802239e+01	2.448027e+01
196	0.106905	0.04843	0.698894	0.121187	0.0956509	6.455296e+00	1.863068e+01	2.508597e+01
200	0.106905	0.048598	0.70155	0.145996	0.0811351	6.451854e+00	1.680133e+01	2.325318e+01
