iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.830123	1.576716e+00	-2.439175e+03	-2.437598e+03
1	0.237706	0.0255823	0.507232	1.576716e+00	-1.093132e+03	-1.091556e+03
2	0.237706	0.0255823	0.241481	1.576716e+00	-8.979890e+02	-8.964122e+02
3	0.237706	0.0255823	0.241481	1.576716e+00	-8.979890e+02	-8.964122e+02
4	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
5	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
6	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
7	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
8	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
9	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
10	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
11	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
12	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
13	0.906302	0.0255823	0.241481	-1.491032e-01	-8.806424e+02	-8.807915e+02
14	0.409926	0.0255823	0.241481	9.147725e-01	-7.580183e+02	-7.571035e+02
15	0.409926	0.0255823	0.241481	9.147725e-01	-7.580183e+02	-7.571035e+02
16	0.409926	0.0255823	0.241481	9.147725e-01	-7.580183e+02	-7.571035e+02
17	0.409926	0.0255823	0.241481	9.147725e-01	-7.580183e+02	-7.571035e+02
18	0.409926	0.0255823	0.241481	9.147725e-01	-7.580183e+02	-7.571035e+02
19	0.409926	0.0269873	0.241481	8.677954e-01	-7.040535e+02	-7.031857e+02
20	0.409926	0.0269873	0.241481	8.677954e-01	-7.040535e+02	-7.031857e+02
21	0.409926	0.0307114	0.266115	7.519871e-01	-5.342368e+02	-5.334848e+02
22	0.409926	0.0307114	0.266115	7.519871e-01	-5.342368e+02	-5.334848e+02
23	0.409926	0.0307114	0.266115	7.519871e-01	-5.342368e+02	-5.334848e+02
24	0.409926	0.0307114	0.277791	7.519871e-01	-4.992063e+02	-4.984543e+02
25	0.409926	0.0307815	0.277791	7.499143e-01	-4.980447e+02	-4.972948e+02
26	0.409926	0.0342968	0.277791	6.505676e-01	-4.920313e+02	-4.913808e+02
27	0.409926	0.0342968	0.277791	6.505676e-01	-4.920313e+02	-4.913808e+02
28	0.377176	0.0333267	0.417793	7.819132e-01	-3.689184e+02	-3.681365e+02
29	0.377176	0.0407376	0.417793	5.926834e-01	-3.024382e+02	-3.018455e+02
30	0.224046	0.0407376	0.417793	1.218378e+00	-1.452394e+02	-1.440210e+02
31	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
32	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
33	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
34	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
35	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
36	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
37	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
38	0.224046	0.0407376	0.437475	1.218378e+00	-1.185287e+02	-1.173103e+02
39	0.224046	0.0407376	0.513614	1.218378e+00	-9.168990e+01	-9.047152e+01
40	0.224046	0.0407376	0.513614	1.218378e+00	-9.168990e+01	-9.047152e+01
41	0.224046	0.0407376	0.513614	1.218378e+00	-9.168990e+01	-9.047152e+01
