iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.830123	0	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.576716e+00	-2.439175e+03	-2.437598e+03
10	0.237706	0.0377067	0.471683	0	-1.806651e+00	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.806651e-01	1.223618e+00	-1.340792e+02	-1.328556e+02
20	0.237706	0.0377067	0.46955	0	-3.336314e+00	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	3.336314e-01	1.223618e+00	-1.333112e+02	-1.320875e+02
30	0.203303	0.0379021	0.46955	0	-4.662739e+00	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	4.662739e-01	1.398285e+00	-1.027315e+02	-1.013332e+02
40	0.203303	0.0379021	0.480919	0	-5.833653e+00	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	5.833653e-01	1.398285e+00	-1.036160e+02	-1.022177e+02
50	0.178988	0.0390137	0.466574	1	-6.544821e+00	3.512716e-01	6.881722e-01	6.881722e-01	6.881722e-01	6.881722e-01	6.881722e-01	6.881722e-01	6.881722e-01	6.881722e-01	1.513708e+00	-7.956378e+01	-7.805007e+01
60	0.158647	0.0390137	0.466574	1	-6.972291e+00	-7.497216e-02	7.830293e-01	7.830293e-01	7.830293e-01	7.830293e-01	7.830293e-01	7.830293e-01	7.830293e-01	7.830293e-01	1.646220e+00	-9.008541e+01	-8.843919e+01
70	0.180404	0.0403781	0.466457	1	-7.264431e+00	-5.625355e-01	8.696629e-01	8.696629e-01	8.696629e-01	8.696629e-01	8.696629e-01	8.696629e-01	8.696629e-01	8.696629e-01	1.472076e+00	-6.872288e+01	-6.725080e+01
80	0.176073	0.0430737	0.546865	2	-7.452327e+00	-9.222606e-01	7.794993e-01	9.493860e-01	9.493860e-01	9.493860e-01	9.493860e-01	9.493860e-01	9.493860e-01	9.493860e-01	1.436616e+00	-2.697755e+01	-2.554094e+01
90	0.138798	0.0430737	0.623092	2	-7.378493e+00	-1.178038e+00	5.301998e-01	8.637913e-01	1.023220e+00	1.023220e+00	1.023220e+00	1.023220e+00	1.023220e+00	1.023220e+00	1.694536e+00	-4.148890e+00	-2.454354e+00
100	0.124792	0.0456948	0.653834	6	-7.309737e+00	-1.109282e+00	2.923163e-01	7.791899e-01	1.017145e+00	1.017651e+00	9.448164e-01	1.091975e+00	1.091975e+00	1.091975e+00	1.748680e+00	2.491317e+01	2.666185e+01
110	0.116373	0.0474389	0.688988	9	-7.245407e+00	-1.044952e+00	3.566470e-01	8.435206e-01	1.081476e+00	1.081982e+00	9.362994e-01	8.701006e-01	9.456542e-01	1.018373e+00	1.784034e+00	3.302446e+01	3.480850e+01
120	0.101337	0.0488531	0.724453	9	-7.184966e+00	-9.845107e-01	4.170881e-01	9.039617e-01	1.141917e+00	1.142423e+00	9.967405e-01	9.305418e-01	7.385465e-01	6.815107e-01	1.895370e+00	3.696117e+01	3.885654e+01
130	0.101279	0.0495063	0.733069	9	-7.127970e+00	-9.275153e-01	4.740835e-01	9.609571e-01	1.198912e+00	1.199418e+00	1.053736e+00	9.875371e-01	6.062230e-01	3.008762e-01	1.882704e+00	3.831390e+01	4.019660e+01
140	0.100784	0.049413	0.74264	9	-7.074049e+00	-8.735940e-01	5.280048e-01	1.014878e+00	1.252834e+00	1.253339e+00	1.107657e+00	1.041458e+00	4.804484e-01	-5.864079e-02	1.889489e+00	3.829464e+01	4.018413e+01
150	0.101105	0.049413	0.724584	8	-7.022887e+00	-8.224321e-01	5.791667e-01	1.066040e+00	1.303996e+00	1.304501e+00	1.103264e+00	8.681014e-01	3.064952e-01	-6.507047e-02	1.886312e+00	3.761141e+01	3.949772e+01
160	0.104661	0.0494881	0.743217	8	-6.974216e+00	-7.737608e-01	6.278380e-01	1.114712e+00	1.352667e+00	1.353173e+00	1.044878e+00	7.555238e-01	1.954455e-01	-1.237571e-01	1.850044e+00	3.749298e+01	3.934303e+01
