Results of Simulation 1

Time	C_central	AUC	ln_C_central	ln_AUC
1	0.069588	0.0356785	-2.66516	-3.33321
5	0.258405	0.733936	-1.35323	-0.309333
10	0.357977	2.32227	-1.02729	0.842546
15	0.373855	4.17596	-0.983888	1.42934
20	0.348816	5.99365	-1.05321	1.7907
40	0.175529	11.2147	-1.73995	2.41722
60	0.0709625	13.5436	-2.6456	2.60591
100	0.0100388	14.7985	-4.6013	2.69453
140	0.00136658	14.9727	-6.59545	2.70623


Results of Simulation 2

Time	C_central	AUC	ln_C_central	ln_AUC
1	0.69588	0.356785	-0.362578	-1.03062
2	1.2916	1.35839	0.255882	0.306298
3	1.79835	2.91034	0.586868	1.06827
5	2.58405	7.33936	0.949359	1.99325
10	3.57977	23.2227	1.2753	3.14513
20	3.48816	59.9365	1.24938	4.09329
40	1.75529	112.147	0.562637	4.71981
50	1.13021	126.385	0.1224	4.83933
100	0.100388	147.985	-2.29871	4.99711
120	0.0370891	149.257	-3.29443	5.00567
140	0.0136658	149.727	-4.29286	5.00881


