Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.25	0.0647945	0.0927068	0.0128266	0.028795	0.0411662	0.0864925	0.00543393	0.036962	0.016326	0.124645	1.58271e-07	0.0147381	0.00205135	0.000159845	0.000294869
2	2.25	0.0700286	0.102023	0.00711098	0.0300775	0.0519902	0.0694104	0.00588449	0.00555227	0.0238205	0.0878255	4.14004e-07	0.0135655	0.00391394	8.55642e-05	0.000323573
3	2.25	0.0714274	0.105964	0.00664115	0.0296497	0.0607444	0.0528458	0.00601393	0.0051437	0.0214546	0.0632549	6.09864e-07	0.0117979	0.00488533	8.00688e-05	0.000335108
4	2.25	0.0724858	0.109452	0.00569637	0.0291087	0.0690014	0.0407571	0.00611483	0.00444552	0.0183437	0.0464645	7.59986e-07	0.0102769	0.00530012	6.8687e-05	0.000345169
5	2.25	0.0731485	0.112399	0.00491922	0.0284335	0.0764992	0.0317449	0.00618248	0.00382591	0.0159041	0.0347504	8.76313e-07	0.00894468	0.0053666	5.92802e-05	0.000353478
6	2.25	0.0735006	0.114913	0.00435366	0.0276658	0.0831594	0.0250035	0.00622397	0.00336785	0.0141458	0.0265329	9.67386e-07	0.00778491	0.00522137	5.24808e-05	0.000360392
7	2.25	0.073631	0.117115	0.00395304	0.0268474	0.0889785	0.0199717	0.00624668	0.00304204	0.0129034	0.0207619	1.03957e-06	0.00678521	0.00495485	4.76341e-05	0.000366292
8	2.25	0.0736073	0.119095	0.0036715	0.0260092	0.0939882	0.0162263	0.00625627	0.00281275	0.0120312	0.016706	1.0977e-06	0.00593106	0.00462693	4.42323e-05	0.00037147
9	2.25	0.0734779	0.120917	0.00347461	0.0251722	0.0982402	0.0134487	0.00625674	0.00265228	0.0114217	0.013859	1.14535e-06	0.00520651	0.00427573	4.18533e-05	0.000376133
10	2.25	0.0732783	0.12263	0.00333625	0.0243512	0.101797	0.0113851	0.00625108	0.00253947	0.0109934	0.011847	1.18536e-06	0.00459484	0.00392646	4.01814e-05	0.000380437
11	2.25	0.0730308	0.124263	0.00323967	0.0235544	0.104721	0.0098634	0.00624115	0.00246076	0.0106943	0.0104362	1.2196e-06	0.00408137	0.00359233	3.90145e-05	0.000384479
12	2.25	0.0727524	0.125839	0.00317177	0.0227874	0.107077	0.00874277	0.00622836	0.00240552	0.0104836	0.00944572	1.24962e-06	0.00365185	0.00328161	3.81941e-05	0.00038833
13	2.25	0.072454	0.127374	0.00312364	0.0220532	0.108922	0.00792304	0.00621363	0.00236652	0.0103337	0.00875458	1.27649e-06	0.0032942	0.00299815	3.76128e-05	0.000392041
14	2.25	0.072144	0.128879	0.00308816	0.0213533	0.110319	0.00731962	0.00619768	0.00233798	0.0102223	0.00826656	1.3011e-06	0.00299639	0.00274328	3.71844e-05	0.000395647
15	2.25	0.0718269	0.130359	0.00306107	0.0206878	0.111316	0.00687913	0.00618087	0.00231644	0.0101363	0.00792454	1.324e-06	0.00274946	0.00251646	3.68575e-05	0.000399168
16	2.25	0.0715062	0.13182	0.00303892	0.0200561	0.111962	0.00655599	0.0061635	0.00229908	0.010065	0.00768177	1.34567e-06	0.00254481	0.00231627	3.65904e-05	0.00040262
17	2.25	0.0711837	0.133265	0.00301927	0.0194569	0.112306	0.00631544	0.00614575	0.00228391	0.0100009	0.00750483	1.36644e-06	0.00237467	0.00214038	3.63536e-05	0.000406012
18	2.25	0.0708603	0.134694	0.00300073	0.0188887	0.112383	0.0061356	0.00612767	0.0022698	0.00993976	0.00737371	1.38654e-06	0.00223336	0.00198657	3.61303e-05	0.000409348
19	2.25	0.0705363	0.136108	0.00298231	0.0183501	0.112226	0.00599968	0.0061093	0.00225591	0.00987848	0.00727366	1.40612e-06	0.00211604	0.00185258	3.59086e-05	0.000412629
20	2.25	0.0702118	0.137508	0.00296329	0.0178392	0.11187	0.0058935	0.00609066	0.00224166	0.0098149	0.00719278	1.42531e-06	0.00201804	0.00173593	3.56797e-05	0.000415856
21	2.25	0.0698865	0.138892	0.00294331	0.0173544	0.111341	0.00580818	0.00607172	0.00222673	0.00974795	0.00712407	1.4442e-06	0.00193595	0.00163454	3.54393e-05	0.000419028
22	2.25	0.0695599	0.14026	0.00292215	0.0168938	0.110665	0.00573666	0.00605245	0.00221093	0.00967702	0.00706219	1.46283e-06	0.00186669	0.00154634	3.51846e-05	0.000422142
23	2.25	0.0692316	0.141612	0.00289974	0.0164559	0.109862	0.00567423	0.00603281	0.00219419	0.00960194	0.00700384	1.48125e-06	0.00180786	0.00146956	3.4915e-05	0.000425198
24	2.25	0.0689011	0.142946	0.00287609	0.016039	0.108953	0.00561744	0.00601277	0.00217652	0.00952279	0.00694674	1.49947e-06	0.00175744	0.00140258	3.46305e-05	0.000428193
25	2.25	0.068568	0.144263	0.00285128	0.0156419	0.107953	0.00556397	0.0059923	0.00215795	0.0094398	0.0068895	1.51752e-06	0.00171381	0.00134403	3.43318e-05	0.000431125
26	2.25	0.0682317	0.145561	0.00282539	0.0152631	0.106877	0.0055122	0.00597137	0.00213855	0.00935333	0.00683125	1.5354e-06	0.00167564	0.00129268	3.40203e-05	0.000433993
27	2.25	0.0678921	0.14684	0.00279855	0.0149013	0.105738	0.00546106	0.00594993	0.00211841	0.00926376	0.00677152	1.55311e-06	0.00164185	0.00124748	3.36972e-05	0.000436794
28	2.25	0.0675487	0.148099	0.00277087	0.0145555	0.104548	0.00540983	0.00592799	0.00209762	0.0091715	0.0067101	1.57066e-06	0.00161156	0.00120751	3.3364e-05	0.000439528
29	2.25	0.0672013	0.149339	0.00274249	0.0142245	0.103316	0.00535811	0.00590551	0.00207628	0.00907698	0.00664693	1.58804e-06	0.00158407	0.00117198	3.30224e-05	0.000442193
30	2.25	0.0668497	0.150558	0.00271352	0.0139074	0.10205	0.00530567	0.00588249	0.00205449	0.0089806	0.00658211	1.60525e-06	0.00155882	0.00114023	3.26737e-05	0.000444789
31	2.25	0.0664938	0.151756	0.00268409	0.0136032	0.100759	0.0052524	0.00585891	0.00203232	0.00888274	0.00651577	1.62229e-06	0.00153534	0.00111168	3.23194e-05	0.000447314
32	2.25	0.0661335	0.152933	0.00265429	0.0133111	0.0994495	0.00519832	0.00583477	0.00200986	0.00878376	0.00644811	1.63916e-06	0.00151327	0.00108582	3.19607e-05	0.000449769
33	2.25	0.0657687	0.15409	0.00262425	0.0130304	0.0981267	0.00514349	0.00581008	0.0019872	0.00868399	0.00637934	1.65586e-06	0.00149232	0.00106224	3.1599e-05	0.000452153
34	2.25	0.0653996	0.155226	0.00259404	0.0127603	0.0967956	0.00508801	0.00578483	0.0019644	0.00858372	0.00630969	1.67237e-06	0.00147227	0.00104061	3.12353e-05	0.000454466
35	2.25	0.065026	0.15634	0.00256373	0.0125002	0.0954601	0.00503197	0.00575904	0.00194151	0.00848318	0.00623931	1.68871e-06	0.00145297	0.00102066	3.08704e-05	0.000456708
36	2.25	0.0646481	0.157433	0.00253341	0.0122497	0.0941243	0.00497551	0.0057327	0.0019186	0.00838264	0.00616845	1.70486e-06	0.00143426	0.00100211	3.05053e-05	0.000458881
37	2.25	0.0642659	0.158506	0.00250313	0.012008	0.0927913	0.00491875	0.00570584	0.00189572	0.00828228	0.00609726	1.72083e-06	0.00141605	0.000984771	3.01408e-05	0.000460983
38	2.25	0.0638797	0.159557	0.00247296	0.0117747	0.091464	0.00486182	0.00567846	0.0018729	0.0081823	0.00602593	1.73662e-06	0.00139824	0.00096845	2.97775e-05	0.000463016
39	2.25	0.0634895	0.160588	0.00244294	0.0115493	0.0901448	0.00480484	0.00565057	0.0018502	0.00808287	0.00595462	1.75222e-06	0.00138077	0.000952997	2.94161e-05	0.00046498
40	2.25	0.0630954	0.161598	0.00241312	0.0113314	0.0888358	0.00474791	0.0056222	0.00182764	0.00798412	0.00588347	1.76764e-06	0.0013636	0.000938296	2.9057e-05	0.000466875
