Results of Simulation 1

Time	C_skin	C_brain	C_null	C_muscle	C_lung	C_heart	C_liver	C_kidney	C_stomach	C_gut	C_pancreas	C_adrenal	C_adip	C_art	C_ven	C_stom_lumen	C_marrow	C_thyroid	C_spleen	C_gut_lumen	C_other
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.110443	0.185801	0	0.015268	2.07119	0.403543	0.100921	1.46144	0.1951	0.353995	0.227018	0.605424	0.0114627	0.549612	0.0162471	0	0.0381758	1.53519	0.3847	0	0.0103072
2	0.273258	0.457221	0	0.037883	2.17733	0.975119	0.265192	3.06792	0.473837	0.852507	0.557142	1.40006	0.0284776	0.582162	0.0518534	0	0.0947396	3.15704	0.887156	0	0.0255784
3	0.442897	0.737033	0	0.0615759	2.27449	1.54361	0.451496	4.26143	0.753865	1.34502	0.895677	2.12364	0.0463479	0.608927	0.0838998	0	0.154022	4.30899	1.34209	0	0.0415824
4	0.618163	1.02316	0	0.0861866	2.35609	2.10506	0.655655	5.16052	1.03313	1.82829	1.24007	2.78037	0.0649554	0.631501	0.110741	0	0.215622	5.14366	1.75277	0	0.0582114
5	0.797873	1.31357	0	0.111555	2.42522	2.65577	0.8738	5.84565	1.30966	2.29933	1.58786	3.37386	0.0841822	0.650574	0.133558	0	0.279142	5.75932	2.12201	0	0.0753579
6	0.98111	1.6067	0	0.137559	2.48514	3.19317	1.10258	6.37473	1.58206	2.75613	1.93714	3.9086	0.103937	0.667047	0.153412	0	0.344275	6.22265	2.45305	0	0.0929386
7	1.1672	1.90141	0	0.164106	2.53829	3.7157	1.33916	6.78991	1.84939	3.19757	2.28656	4.38965	0.124153	0.68161	0.171088	0	0.410792	6.57958	2.74946	0	0.110892
8	1.35563	2.19687	0	0.191129	2.58644	4.22248	1.58112	7.1218	2.11105	3.62312	2.63514	4.82228	0.14478	0.694759	0.187147	0	0.478526	6.86173	3.01483	0	0.129173
9	1.54605	2.49248	0	0.218578	2.63083	4.71316	1.82643	7.39277	2.3667	4.0327	2.98218	5.21161	0.165781	0.706854	0.201997	0	0.547352	7.09116	3.25264	0	0.147748
10	1.73816	2.78779	0	0.246416	2.67239	5.1877	2.0734	7.61915	2.61614	4.42649	3.32717	5.56252	0.18713	0.718152	0.215927	0	0.617175	7.28323	3.46614	0	0.16659
11	1.93174	3.08245	0	0.274612	2.71176	5.64629	2.3206	7.81273	2.85932	4.80488	3.66975	5.87951	0.208805	0.728837	0.229145	0	0.687923	7.44864	3.65829	0	0.185681
12	2.12663	3.37623	0	0.303144	2.7494	6.0893	2.56686	7.98209	3.09626	5.16836	4.00966	6.16665	0.230789	0.739039	0.241798	0	0.759539	7.5948	3.83179	0	0.205006
13	2.32269	3.66893	0	0.331994	2.78563	6.51717	2.81121	8.13345	3.32705	5.51749	4.34672	6.42762	0.253069	0.748852	0.253993	0	0.831977	7.72695	3.98901	0	0.224551
14	2.51981	3.96039	0	0.361147	2.8207	6.9304	3.05285	8.27131	3.55178	5.85289	4.68078	6.66566	0.275636	0.758343	0.265802	0	0.905201	7.84873	4.13206	0	0.244308
15	2.71789	4.25051	0	0.390591	2.85477	7.32953	3.29114	8.39893	3.77059	6.17517	5.01176	6.88364	0.298479	0.767557	0.27728	0	0.979179	7.96271	4.26278	0	0.264266
16	2.91684	4.53917	0	0.420313	2.88796	7.71511	3.52557	8.51869	3.98364	6.48494	5.33957	7.08408	0.321591	0.77653	0.288466	0	1.05388	8.07072	4.38278	0	0.28442
17	3.11661	4.82631	0	0.450304	2.92034	8.08767	3.75573	8.63228	4.19109	6.7828	5.66416	7.26918	0.344966	0.785285	0.299384	0	1.12929	8.17401	4.49345	0	0.304762
18	3.31711	5.11185	0	0.480556	2.95199	8.44776	3.98131	8.74092	4.39308	7.06933	5.98549	7.44084	0.368596	0.793838	0.310056	0	1.20537	8.27346	4.59598	0	0.325286
19	3.51828	5.39572	0	0.511058	2.98295	8.79589	4.20208	8.84548	4.58979	7.34508	6.30353	7.60071	0.392476	0.802204	0.320495	0	1.28211	8.36969	4.69141	0	0.345986
