iter	A(1)	B(1)	C(1)	LnPrior	LnData	LnPosterior
0	0.0347401	0.0113384	0.00790641	7.366569e+00	-8.729465e+01	-7.992808e+01
1	0.0347401	0.0113384	0.0207121	7.366569e+00	-8.724905e+01	-7.988248e+01
2	0.085851	0.0119744	0.0365894	7.354047e+00	-5.976258e+01	-5.240854e+01
3	0.085851	0.0128016	0.0316909	7.330568e+00	-5.976695e+01	-5.243638e+01
4	0.106382	0.00560488	0.0319858	7.262413e+00	-5.829534e+01	-5.103293e+01
5	0.103179	0.00560488	0.0783248	7.262413e+00	-5.831951e+01	-5.105709e+01
6	0.103179	0.00560488	0.0657668	7.262413e+00	-5.832332e+01	-5.106091e+01
7	0.082538	0.00560488	0.0870303	7.262413e+00	-6.031738e+01	-5.305497e+01
8	0.103738	0.0126719	0.071436	7.334786e+00	-5.827225e+01	-5.093746e+01
9	0.103738	0.000595389	0.0650072	6.851573e+00	-5.833738e+01	-5.148580e+01
10	0.103738	0.0100104	0.0678442	7.377215e+00	-5.828836e+01	-5.091114e+01
11	0.103738	0.0124097	0.0676475	7.342706e+00	-5.827617e+01	-5.093346e+01
12	0.103738	0.0179047	0.073693	7.005872e+00	-5.824259e+01	-5.123672e+01
13	0.103738	0.0166994	0.0495346	7.110483e+00	-5.827319e+01	-5.116271e+01
14	0.103738	0.0166994	0.0432233	7.110483e+00	-5.828071e+01	-5.117023e+01
15	0.0919615	0.0213926	0.0734454	6.605862e+00	-5.886697e+01	-5.226111e+01
16	0.0919615	0.0207304	0.0535415	6.692925e+00	-5.891215e+01	-5.221923e+01
17	0.0919615	0.0207304	0.0493359	6.692925e+00	-5.892148e+01	-5.222856e+01
18	0.0919615	0.000975391	0.04332	6.893193e+00	-5.904106e+01	-5.214787e+01
19	0.0919615	0.00902861	0.0554564	7.371607e+00	-5.898577e+01	-5.161416e+01
20	0.0919615	0.00999384	0.0998363	7.377215e+00	-5.894288e+01	-5.156567e+01
21	0.114105	0.00999384	0.058767	7.377215e+00	-5.842696e+01	-5.104975e+01
22	0.114105	0.00999384	0.0392002	7.377215e+00	-5.843370e+01	-5.105649e+01
23	0.103992	0.00999384	0.0654706	7.377215e+00	-5.828545e+01	-5.090824e+01
24	0.103992	0.00846182	0.0793181	7.363154e+00	-5.828711e+01	-5.092395e+01
25	0.0876279	0.000362863	0.0872436	6.825259e+00	-5.956346e+01	-5.273821e+01
26	0.106249	0.00441679	0.0820058	7.191958e+00	-5.828641e+01	-5.109445e+01
27	0.106249	0.00364945	0.0654385	7.137536e+00	-5.829300e+01	-5.115547e+01
28	0.106249	0.00364945	0.0698452	7.137536e+00	-5.829222e+01	-5.115469e+01
29	0.106249	0.00364945	0.0718616	7.137536e+00	-5.829189e+01	-5.115435e+01
30	0.106249	0.00364945	0.068244	7.137536e+00	-5.829250e+01	-5.115496e+01
31	0.106249	0.0377067	0.0844885	2.814980e+00	-5.811888e+01	-5.530390e+01
32	0.0919738	0.0377067	0.070478	2.814980e+00	-5.874174e+01	-5.592676e+01
33	0.1025	0.0377067	0.0584375	2.814980e+00	-5.818965e+01	-5.537467e+01
34	0.1025	0.0389831	0.0436985	2.384932e+00	-5.822387e+01	-5.583894e+01
35	0.1025	0.0389831	0.0749336	2.384932e+00	-5.814729e+01	-5.576235e+01
36	0.1025	0.0389831	0.0972523	2.384932e+00	-5.811522e+01	-5.573029e+01
37	0.1025	0.0389831	0.0873902	2.384932e+00	-5.812675e+01	-5.574181e+01
38	0.1025	0.0389831	0.0490592	2.384932e+00	-5.820853e+01	-5.582360e+01
39	0.1025	0.0389831	0.0428669	2.384932e+00	-5.822632e+01	-5.584139e+01
40	0.103208	0.0184253	0.0647401	6.955343e+00	-5.825792e+01	-5.130258e+01
41	0.11909	0.00539805	0.0705057	7.251354e+00	-5.870743e+01	-5.145608e+01
42	0.11909	0.00539805	0.0572055	7.251354e+00	-5.870803e+01	-5.145668e+01
43	0.11909	0.00267996	0.0500928	7.058770e+00	-5.871224e+01	-5.165347e+01
44	0.11909	0.00763391	0.0548579	7.343944e+00	-5.870510e+01	-5.136115e+01
45	0.11909	0.0103283	0.0460137	7.376575e+00	-5.870289e+01	-5.132631e+01
46	0.11909	0.0103283	0.0461741	7.376575e+00	-5.870286e+01	-5.132628e+01
47	0.11909	0.0103283	0.0476337	7.376575e+00	-5.870258e+01	-5.132601e+01
48	0.11909	0.0212187	0.0425348	6.629232e+00	-5.869121e+01	-5.206198e+01
49	0.11909	0.0212187	0.0556821	6.629232e+00	-5.868686e+01	-5.205763e+01
50	0.11909	0.0212187	0.0388192	6.629232e+00	-5.869281e+01	-5.206358e+01
51	0.11909	0.0212187	0.0269841	6.629232e+00	-5.869880e+01	-5.206957e+01
52	0.11909	0.0212187	0.0257694	6.629232e+00	-5.869948e+01	-5.207025e+01
53	0.11909	0.0212187	0.0558546	6.629232e+00	-5.868682e+01	-5.205759e+01
