Results of Experiment 1

Time	x1	x2	x3
10	11	3.14159	72.4992
11	12	3.14159	83.8873
12	13	3.14159	96.8251
13	14	3.14159	110.481
14	15	3.14159	124.849
15	16	3.14159	141.051
16	17	3.14159	157.585
17	18	3.14159	177.297
18	19	3.14159	197.308
19	20	3.14159	216.993
20	21	3.14159	237.384
21	22	3.14159	259.076
22	23	3.14159	282.946
23	24	3.14159	308.488
24	25	3.14159	335.204
25	26	3.14159	361.152
26	27	3.14159	387.618
27	28	3.14159	415.064
28	29	3.14159	445.73
29	30	3.14159	476.524
30	31	3.14159	507.525
31	32	3.14159	539.195
32	33	3.14159	572.049
33	34	3.14159	607.654
34	35	3.14159	642.137
35	36	3.14159	679.311
36	37	3.14159	717.997
37	38	3.14159	756.511
38	39	3.14159	795.197
39	40	3.14159	834.572
40	41	3.14159	875.484
41	42	3.14159	917.505
42	43	3.14159	962.005
43	44	3.14159	1007.71
44	45	3.14159	1052.48
45	46	3.14159	1097.9
46	47	3.14159	1144.45
47	48	3.14159	1194.02
48	49	3.14159	1244.57
49	50	3.14159	1296.28
50	51	3.14159	1347.5
51	52	3.14159	1399
52	53	3.14159	1451.4
53	54	3.14159	1506.71
54	55	3.14159	1561.48
55	56	3.14159	1616.89
56	57	3.14159	1673.92
57	58	3.14159	1731.57
58	59	3.14159	1789.93
59	60	3.14159	1850.19
60	61	3.14159	1910.68
61	62	3.14159	1974.4
62	63	3.14159	2038.25
63	64	3.14159	2101.96
64	65	3.14159	2166.35
65	66	3.14159	2232.05
66	67	3.14159	2299.84
67	68	3.14159	2369.37
68	69	3.14159	2440.09
69	70	3.14159	2510.02
70	71	3.14159	2580.48
71	72	3.14159	2651.94
72	73	3.14159	2726.63
73	74	3.14159	2801.57
74	75	3.14159	2876.87
75	76	3.14159	2953.05
76	77	3.14159	3031.31
77	78	3.14159	3108.85
78	79	3.14159	3187.57
79	80	3.14159	3267.73
80	81	3.14159	3350.43
81	82	3.14159	3433.26
82	83	3.14159	3515.88
83	84	3.14159	3599.25
84	85	3.14159	3684.24
85	86	3.14159	3770.1
86	87	3.14159	3858.63
87	88	3.14159	3948.3
88	89	3.14159	4037.03
89	90	3.14159	4126.44
90	91	3.14159	4217.01
91	92	3.14159	4310.5
92	93	3.14159	4405.07
93	94	3.14159	4500.79
94	95	3.14159	4595.91
95	96	3.14159	4691.41
96	97	3.14159	4787.82
97	98	3.14159	4887.17
98	99	3.14159	4986.04
99	100	3.14159	5085.42
100	101	3.14159	5186.25
101	102	3.14159	5287.88
102	103	3.14159	5390.25
103	104	3.14159	5494.56
104	105	3.14159	5599.02
105	106	3.14159	5706.71
106	107	3.14159	5814.42
107	108	3.14159	5922.14
108	109	3.14159	6030.53
109	110	3.14159	6140.25
110	111	3.14159	6251.95
111	112	3.14159	6365.48
112	113	3.14159	6480.2
113	114	3.14159	6594.11
114	115	3.14159	6708.56
115	116	3.14159	6824.03
116	117	3.14159	6942.74
117	118	3.14159	7061.81
118	119	3.14159	7181.44
119	120	3.14159	7302.44
120	121	3.14159	7424.44
121	122	3.14159	7545.82
122	123	3.14159	7669.74
123	124	3.14159	7793.17
124	125	3.14159	7918.3
125	126	3.14159	8045.14
126	127	3.14159	8171.75
127	128	3.14159	8299.12
128	129	3.14159	8428.15
129	130	3.14159	8557.93
130	131	3.14159	8690.49
131	132	3.14159	8824.11
132	133	3.14159	8956.8
133	134	3.14159	9090.21
134	135	3.14159	9224.8
135	136	3.14159	9362.19
136	137	3.14159	9500.77
137	138	3.14159	9640.49
138	139	3.14159	9779.55
139	140	3.14159	9919.05
140	141	3.14159	10059.5
141	142	3.14159	10202.9
142	143	3.14159	10345.8
143	144	3.14159	10489.2
144	145	3.14159	10633.9
145	146	3.14159	10779.4
146	147	3.14159	10925.8
147	148	3.14159	11074.2
148	149	3.14159	11222.6
149	150	3.14159	11374.2
150	151	3.14159	11525.8

