Results of Simulation 1

Time	measurement_times	v1	pred_v1	v2	pred_v2
0	0	1	0	2	0
1.99	0	0.81955	0	1.6391	0
2	1	0.818731	0.818731	1.63746	1.63746
2.01	0	0.817912	0.818731	1.63582	1.63746
3	0	0.740818	0.818731	1.48164	1.63746
4.99	0	0.607138	0.818731	1.21428	1.63746
5	1	0.606531	0.606531	1.21306	1.21306
5.01	0	0.605925	0.606531	1.21185	1.21306
6	0	0.548812	0.606531	1.09762	1.21306
6.99	0	0.497082	0.606531	0.994165	1.21306
7	1	0.496586	0.496586	0.993171	0.993171
7.01	0	0.496089	0.496586	0.992179	0.993172
8	0	0.449329	0.496586	0.898658	0.993172


Results of Simulation 2

Time	measurement_times	v1	pred_v1	v2	pred_v2
0	0	1	0	2	0
3	0	0.740818	0.818731	1.48164	1.63746
6	0	0.548812	0.606531	1.09762	1.21306
8	0	0.449329	0.496586	0.898658	0.993171


