iter	t1(1)	t2(1)	t3(1)	LnPrior	LnData	LnPosterior
0	1.4721	5.06801	6.34239	-1.049697e+00	-4.953591e+01	-5.058561e+01
5005	2.14691	4.8541	6.90859	-8.530263e-01	1.768159e+01	1.682856e+01
5010	2.08654	4.92035	7.04629	-1.057938e+00	2.126132e+01	2.020338e+01
5015	2.08322	4.90669	6.97006	-9.065814e-01	2.119241e+01	2.028583e+01
5020	2.08808	4.90669	6.94706	-8.660622e-01	2.091971e+01	2.005365e+01
5025	2.08738	5.06496	6.99365	-9.444838e-01	2.167968e+01	2.073519e+01
5030	1.99683	5.02996	6.94118	-8.244956e-01	2.242409e+01	2.159959e+01
5035	1.97989	5.02996	6.88847	-7.378164e-01	2.147033e+01	2.073252e+01
5040	1.92665	5.02996	6.98894	-9.240790e-01	2.221697e+01	2.129290e+01
5045	1.9067	5.02996	6.92212	-8.089805e-01	2.127233e+01	2.046335e+01
5050	1.94147	5.02996	6.89001	-7.462649e-01	2.119623e+01	2.044997e+01
5055	1.94216	4.94917	6.90501	-7.733344e-01	2.133416e+01	2.056083e+01
5060	1.95708	4.94917	6.99224	-9.268621e-01	2.240385e+01	2.147699e+01
5065	2.02878	4.94917	6.99224	-9.248345e-01	2.251318e+01	2.158835e+01
5070	1.91705	4.9677	7.03766	-1.027411e+00	2.191771e+01	2.089029e+01
5075	2.02112	5.0161	6.93681	-8.164097e-01	2.238910e+01	2.157269e+01
5080	2.04599	5.01976	6.8399	-6.694802e-01	2.001269e+01	1.934321e+01
5085	2.04599	5.0512	6.9146	-7.866576e-01	2.165490e+01	2.086824e+01
5090	1.88944	5.1994	7.05921	-1.162805e+00	1.728431e+01	1.612150e+01
5095	1.98771	5.12695	7.13412	-1.270146e+00	1.943496e+01	1.816482e+01
5100	1.98771	5.01722	6.93821	-8.183455e-01	2.242991e+01	2.161156e+01
5105	1.92159	4.98949	7.03024	-1.008239e+00	2.213861e+01	2.113037e+01
5110	1.92159	4.91804	7.03024	-1.021451e+00	2.146325e+01	2.044180e+01
5115	1.92159	5.02133	7.03024	-1.008928e+00	2.210748e+01	2.109855e+01
5120	1.85751	5.06845	7.04742	-1.082715e+00	2.011597e+01	1.903326e+01
5125	1.85197	4.87513	7.04742	-1.107751e+00	1.883053e+01	1.772278e+01
5130	2.1537	4.99991	7.04742	-1.079981e+00	2.027310e+01	1.919312e+01
5135	1.92216	4.97562	6.91161	-7.855564e-01	2.138531e+01	2.059975e+01
5140	1.95745	4.92006	7.01216	-9.744119e-01	2.201308e+01	2.103867e+01
5145	1.99515	5.01789	7.01216	-9.586970e-01	2.282140e+01	2.186270e+01
5150	1.99515	5.106	7.02312	-1.003223e+00	2.169051e+01	2.068728e+01
5155	1.99515	4.91884	7.02312	-9.939232e-01	2.213962e+01	2.114570e+01
5160	1.99515	5.05834	7.02312	-9.875567e-01	2.247607e+01	2.148851e+01
5165	1.92178	5.02794	6.91716	-7.952428e-01	2.146539e+01	2.067014e+01
5170	2.08003	5.02794	7.01762	-9.836246e-01	2.212358e+01	2.113996e+01
5175	2.08003	4.97267	6.96526	-8.806367e-01	2.202404e+01	2.114341e+01
5180	2.02877	4.86682	7.02268	-1.016911e+00	2.093164e+01	1.991472e+01
5185	1.95344	4.97314	6.98063	-9.011995e-01	2.252811e+01	2.162691e+01
5190	2.04959	5.03438	7.13956	-1.258746e+00	2.055337e+01	1.929462e+01
5195	2.04959	4.84926	6.95975	-9.065048e-01	2.014355e+01	1.923705e+01
5200	1.96877	4.99822	6.94926	-8.390299e-01	2.249934e+01	2.166031e+01
5205	1.96877	5.06389	6.8462	-6.832287e-01	1.995713e+01	1.927390e+01
5210	1.96877	5.02938	6.91242	-7.772652e-01	2.189917e+01	2.112190e+01
5215	2.13712	4.93638	7.03183	-1.044790e+00	2.046931e+01	1.942452e+01
5220	2.13712	5.07048	6.99657	-9.741117e-01	2.048602e+01	1.951191e+01
5225	1.90351	5.06046	7.05615	-1.077951e+00	2.124259e+01	2.016464e+01
5230	1.90351	4.95648	6.95483	-8.695454e-01	2.151007e+01	2.064053e+01
5235	2.08874	4.95899	 6.92	-8.053177e-01	2.125532e+01	2.045000e+01
5240	1.85393	4.99927	7.01565	-1.007878e+00	2.067632e+01	1.966844e+01
5245	1.87695	5.16353	7.04854	-1.118952e+00	1.841327e+01	1.729431e+01
5250	2.0795	5.02793	7.01587	-9.798516e-01	2.213797e+01	2.115812e+01
5255	2.0795	4.90344	7.11683	-1.225642e+00	1.992165e+01	1.869600e+01
5260	2.0795	5.0199	7.02459	-9.972176e-01	2.214181e+01	2.114459e+01
5265	2.02685	5.09839	7.01816	-9.911827e-01	2.179937e+01	2.080819e+01
5270	2.02685	5.09252	7.01816	-9.889413e-01	2.191258e+01	2.092364e+01
5275	2.02685	5.04908	6.98695	-9.139051e-01	2.254161e+01	2.162770e+01
5280	2.02685	4.91106	6.98695	-9.249085e-01	2.196981e+01	2.104490e+01
5285	2.02685	5.03126	6.89753	-7.528537e-01	2.163177e+01	2.087891e+01
5290	2.03471	5.07045	7.00837	-9.626125e-01	2.225001e+01	2.128740e+01
5295	2.03471	5.07045	7.00837	-9.626125e-01	2.225001e+01	2.128740e+01
5300	2.00062	4.98493	6.98184	-8.981954e-01	2.280763e+01	2.190943e+01
5305	2.00062	4.92062	6.98184	-9.103435e-01	2.218685e+01	2.127651e+01
5310	2.0317	4.96624	6.98355	-9.053251e-01	2.262111e+01	2.171579e+01
5315	2.0317	5.13647	6.96241	-9.002981e-01	2.075747e+01	1.985717e+01
5320	2.0317	5.03563	7.08666	-1.126284e+00	2.189459e+01	2.076830e+01
5325	2.0317	5.0014	6.9641	-8.662004e-01	2.263472e+01	2.176852e+01
