Results of Simulation 1

Time	v1	v2
0	1	2
0.01	0.999	1.998
0.02	0.998002	1.996
0.03	0.997004	1.99401
0.04	0.996008	1.99202
0.05	0.995012	1.99002
0.06	0.994018	1.98804
0.07	0.993024	1.98605
0.08	0.992032	1.98406
0.09	0.99104	1.98208
0.1	0.99005	1.9801
0.11	0.98906	1.97812
0.12	0.988072	1.97614
0.13	0.987084	1.97417
0.14	0.986098	1.9722
0.15	0.985112	1.97022
0.16	0.984127	1.96825
0.17	0.983144	1.96629
0.18	0.982161	1.96432
0.19	0.981179	1.96236
0.2	0.980199	1.9604
0.21	0.979219	1.95844
0.22	0.97824	1.95648
0.23	0.977262	1.95452
0.24	0.976286	1.95257
0.25	0.97531	1.95062
0.26	0.974335	1.94867
0.27	0.973361	1.94672
0.28	0.972388	1.94478
0.29	0.971416	1.94283
0.3	0.970446	1.94089
0.31	0.969476	1.93895
0.32	0.968507	1.93701
0.33	0.967539	1.93508
0.34	0.966572	1.93314
0.35	0.965605	1.93121
0.36	0.96464	1.92928
0.37	0.963676	1.92735
0.38	0.962713	1.92543
0.39	0.961751	1.9235
0.4	0.960789	1.92158
0.41	0.959829	1.91966
0.42	0.95887	1.91774
0.43	0.957911	1.91582
0.44	0.956954	1.91391
0.45	0.955997	1.91199
0.46	0.955042	1.91008
0.47	0.954087	1.90817
0.48	0.953134	1.90627
0.49	0.952181	1.90436
0.5	0.951229	1.90246
0.51	0.950279	1.90056
0.52	0.949329	1.89866
0.53	0.94838	1.89676
0.54	0.947432	1.89486
0.55	0.946485	1.89297
0.56	0.945539	1.89108
0.57	0.944594	1.88919
0.58	0.94365	1.8873
0.59	0.942707	1.88541
0.6	0.941765	1.88353
0.61	0.940823	1.88165
0.62	0.939883	1.87977
0.63	0.938943	1.87789
0.64	0.938005	1.87601
0.65	0.937067	1.87413
0.66	0.936131	1.87226
0.67	0.935195	1.87039
0.68	0.93426	1.86852
0.69	0.933327	1.86665
0.7	0.932394	1.86479
0.71	0.931462	1.86292
0.72	0.930531	1.86106
0.73	0.929601	1.8592
0.74	0.928672	1.85734
0.75	0.927743	1.85549
0.76	0.926816	1.85363
0.77	0.92589	1.85178
0.78	0.924964	1.84993
0.79	0.92404	1.84808
0.8	0.923116	1.84623
0.81	0.922194	1.84439
0.82	0.921272	1.84254
0.83	0.920351	1.8407
0.84	0.919431	1.83886
0.85	0.918512	1.83702
0.86	0.917594	1.83519
0.87	0.916677	1.83335
0.88	0.915761	1.83152
0.89	0.914846	1.82969
0.9	0.913931	1.82786
0.91	0.913018	1.82604
0.92	0.912105	1.82421
0.93	0.911193	1.82239
0.94	0.910283	1.82057
0.95	0.909373	1.81875
0.96	0.908464	1.81693
0.97	0.907556	1.81511
0.98	0.906649	1.8133
0.99	0.905743	1.81149
1	1.90484	3.61935
1.01	1.90293	3.61573
1.02	1.90103	3.61212
1.03	1.89913	3.60851
1.04	1.89723	3.6049
1.05	1.89534	3.6013
1.06	1.89344	3.5977
1.07	1.89155	3.5941
1.08	1.88966	3.59051
1.09	1.88777	3.58692
1.1	1.88588	3.58334
1.11	1.884	3.57976
1.12	1.88212	3.57618
1.13	1.88023	3.5726
1.14	1.87836	3.56903
1.15	1.87648	3.56546
1.16	1.8746	3.5619
1.17	1.87273	3.55834
1.18	1.87086	3.55478
1.19	1.86899	3.55123
1.2	1.86712	3.54768
1.21	1.86525	3.54414
1.22	1.86339	3.54059
1.23	1.86153	3.53705
1.24	1.85967	3.53352
1.25	1.85781	3.52999
1.26	1.85595	3.52646
1.27	1.8541	3.52294
1.28	1.85224	3.51941
1.29	1.85039	3.5159
1.3	1.84854	3.51238
1.31	1.84669	3.50887
1.32	1.84485	3.50536
1.33	1.843	3.50186
1.34	1.84116	3.49836
1.35	1.83932	3.49486
1.36	1.83748	3.49137
1.37	1.83565	3.48788
1.38	1.83381	3.4844
1.39	1.83198	3.48091
1.4	1.83015	3.47743
1.41	1.82832	3.47396
1.42	1.82649	3.47049
1.43	1.82467	3.46702
1.44	1.82284	3.46355
1.45	1.82102	3.46009
1.46	1.8192	3.45663
1.47	1.81738	3.45318
1.48	1.81557	3.44972
1.49	1.81375	3.44628
1.5	1.81194	3.44283
1.51	1.81013	3.43939
1.52	1.80832	3.43595
1.53	1.80651	3.43252
1.54	1.8047	3.42909
1.55	1.8029	3.42566
1.56	1.8011	3.42224
1.57	1.7993	3.41882
1.58	1.7975	3.4154
1.59	1.7957	3.41199
1.6	1.79391	3.40858
1.61	1.79212	3.40517
1.62	1.79032	3.40177
1.63	1.78853	3.39837
1.64	1.78675	3.39497
1.65	1.78496	3.39158
1.66	1.78318	3.38819
1.67	1.78139	3.3848
1.68	1.77961	3.38142
1.69	1.77784	3.37804
1.7	1.77606	3.37466
1.71	1.77428	3.37129
1.72	1.77251	3.36792
1.73	1.77074	3.36455
1.74	1.76897	3.36119
1.75	1.7672	3.35783
1.76	1.76543	3.35447
1.77	1.76367	3.35112
1.78	1.76191	3.34777
1.79	1.76015	3.34442
1.8	1.75839	3.34108
1.81	1.75663	3.33774
1.82	1.75487	3.33441
1.83	1.75312	3.33107
1.84	1.75137	3.32774
1.85	1.74962	3.32442
1.86	1.74787	3.32109
1.87	1.74612	3.31778
1.88	1.74438	3.31446
1.89	1.74263	3.31115
1.9	1.74089	3.30784
1.91	1.73915	3.30453
1.92	1.73741	3.30123
1.93	1.73568	3.29793
1.94	1.73394	3.29463
1.95	1.73221	3.29134
1.96	1.73048	3.28805
1.97	1.72875	3.28476
1.98	1.72702	3.28148
1.99	1.72529	3.2782
2	1.72357	3.27492
2.01	1.72185	3.27165
2.02	1.72012	3.26838
2.03	1.71841	3.26511
2.04	1.71669	3.26185
2.05	1.71497	3.25859
2.06	1.71326	3.25533
2.07	1.71155	3.25208
2.08	1.70983	3.24883
2.09	1.70813	3.24558
2.1	1.70642	3.24234
2.11	1.70471	3.2391
2.12	1.70301	3.23586
2.13	1.70131	3.23262
2.14	1.69961	3.22939
2.15	1.69791	3.22617
2.16	1.69621	3.22294
2.17	1.69452	3.21972
2.18	1.69282	3.2165
2.19	1.69113	3.21329
2.2	1.68944	3.21008
2.21	1.68775	3.20687
2.22	1.68606	3.20366
2.23	1.68438	3.20046
2.24	1.6827	3.19726
2.25	1.68101	3.19407
2.26	1.67933	3.19087
2.27	1.67765	3.18768
2.28	1.67598	3.1845
2.29	1.6743	3.18131
2.3	1.67263	3.17813
2.31	1.67096	3.17496
2.32	1.66929	3.17178
2.33	1.66762	3.16861
2.34	1.66595	3.16545
2.35	1.66429	3.16228
2.36	1.66262	3.15912
2.37	1.66096	3.15597
2.38	1.6593	3.15281
2.39	1.65764	3.14966
2.4	1.65599	3.14651
2.41	1.65433	3.14337
2.42	1.65268	3.14022
2.43	1.65103	3.13709
2.44	1.64938	3.13395
2.45	1.64773	3.13082
2.46	1.64608	3.12769
2.47	1.64443	3.12456
2.48	1.64279	3.12144
2.49	1.64115	3.11832
2.5	1.63951	3.1152
2.51	1.63787	3.11209
2.52	1.63623	3.10898
2.53	1.6346	3.10587
2.54	1.63296	3.10277
2.55	1.63133	3.09967
2.56	1.6297	3.09657
2.57	1.62807	3.09347
2.58	1.62645	3.09038
2.59	1.62482	3.08729
2.6	1.6232	3.08421
2.61	1.62157	3.08112
2.62	1.61995	3.07804
2.63	1.61833	3.07497
2.64	1.61672	3.07189
2.65	1.6151	3.06882
2.66	1.61349	3.06576
2.67	1.61187	3.06269
2.68	1.61026	3.05963
2.69	1.60865	3.05657
2.7	1.60704	3.05352
2.71	1.60544	3.05047
2.72	1.60383	3.04742
2.73	1.60223	3.04437
2.74	1.60063	3.04133
2.75	1.59903	3.03829
2.76	1.59743	3.03525
2.77	1.59583	3.03222
2.78	1.59424	3.02919
2.79	1.59265	3.02616
2.8	1.59105	3.02314
2.81	1.58946	3.02011
2.82	1.58788	3.01709
2.83	1.58629	3.01408
2.84	1.5847	3.01107
2.85	1.58312	3.00806
2.86	1.58154	3.00505
2.87	1.57996	3.00205
2.88	1.57838	2.99905
2.89	1.5768	2.99605
2.9	1.57522	2.99305
2.91	1.57365	2.99006
2.92	1.57208	2.98707
2.93	1.5705	2.98409
2.94	1.56893	2.98111
2.95	1.56737	2.97813
2.96	1.5658	2.97515
2.97	1.56423	2.97218
2.98	1.56267	2.96921
2.99	1.56111	2.96624
3	1.55955	2.96327
3.01	1.55799	2.96031
3.02	1.55643	2.95735
3.03	1.55488	2.9544
3.04	1.55332	2.95144
3.05	1.55177	2.94849
3.06	1.55022	2.94555
3.07	1.54867	2.9426
3.08	1.54712	2.93966
3.09	1.54558	2.93672
3.1	1.54403	2.93379
3.11	1.54249	2.93086
3.12	1.54095	2.92793
3.13	1.53941	2.925
3.14	1.53787	2.92208
3.15	1.53633	2.91916
3.16	1.53479	2.91624
3.17	1.53326	2.91332
3.18	1.53173	2.91041
3.19	1.5302	2.9075
3.2	1.52867	2.9046
3.21	1.52714	2.90169
3.22	1.52561	2.89879
3.23	1.52409	2.8959
3.24	1.52257	2.893
3.25	1.52104	2.89011
3.26	1.51952	2.88722
3.27	1.518	2.88434
3.28	1.51649	2.88145
3.29	1.51497	2.87857
3.3	1.51346	2.8757
3.31	1.51194	2.87282
3.32	1.51043	2.86995
3.33	1.50892	2.86708
3.34	1.50742	2.86422
3.35	1.50591	2.86135
3.36	1.5044	2.85849
3.37	1.5029	2.85564
3.38	1.5014	2.85278
3.39	1.4999	2.84993
3.4	1.4984	2.84708
3.41	1.4969	2.84424
3.42	1.4954	2.84139
3.43	1.49391	2.83855
3.44	1.49242	2.83572
3.45	1.49093	2.83288
3.46	1.48943	2.83005
3.47	1.48795	2.82722
3.48	1.48646	2.8244
3.49	1.48497	2.82157
3.5	1.48349	2.81875
3.51	1.48201	2.81594
3.52	1.48052	2.81312
3.53	1.47905	2.81031
3.54	1.47757	2.8075
3.55	1.47609	2.80469
3.56	1.47461	2.80189
3.57	1.47314	2.79909
3.58	1.47167	2.79629
3.59	1.4702	2.7935
3.6	1.46873	2.79071
3.61	1.46726	2.78792
3.62	1.46579	2.78513
3.63	1.46433	2.78235
3.64	1.46286	2.77956
3.65	1.4614	2.77679
3.66	1.45994	2.77401
3.67	1.45848	2.77124
3.68	1.45703	2.76847
3.69	1.45557	2.7657
3.7	1.45411	2.76294
3.71	1.45266	2.76018
3.72	1.45121	2.75742
3.73	1.44976	2.75466
3.74	1.44831	2.75191
3.75	1.44686	2.74916
3.76	1.44542	2.74641
3.77	1.44397	2.74366
3.78	1.44253	2.74092
3.79	1.44109	2.73818
3.8	1.43965	2.73545
3.81	1.43821	2.73271
3.82	1.43677	2.72998
3.83	1.43533	2.72725
3.84	1.4339	2.72453
3.85	1.43247	2.7218
3.86	1.43103	2.71908
3.87	1.4296	2.71636
3.88	1.42817	2.71365
3.89	1.42675	2.71094
3.9	1.42532	2.70823
3.91	1.4239	2.70552
3.92	1.42247	2.70282
3.93	1.42105	2.70012
3.94	1.41963	2.69742
3.95	1.41821	2.69472
3.96	1.41679	2.69203
3.97	1.41538	2.68934
3.98	1.41396	2.68665
3.99	1.41255	2.68396
4	1.41114	2.68128
4.01	1.40973	2.6786
4.02	1.40832	2.67592
4.03	1.40691	2.67325
4.04	1.40551	2.67058
4.05	1.4041	2.66791
4.06	1.4027	2.66524
4.07	1.40129	2.66258
4.08	1.39989	2.65992
4.09	1.3985	2.65726
4.1	1.3971	2.6546
4.11	1.3957	2.65195
4.12	1.39431	2.6493
4.13	1.39291	2.64665
4.14	1.39152	2.644
4.15	1.39013	2.64136
4.16	1.38874	2.63872
4.17	1.38735	2.63608
4.18	1.38597	2.63345
4.19	1.38458	2.63082
4.2	1.3832	2.62819
4.21	1.38181	2.62556
4.22	1.38043	2.62294
4.23	1.37905	2.62031
4.24	1.37767	2.6177
4.25	1.3763	2.61508
4.26	1.37492	2.61247
4.27	1.37355	2.60985
4.28	1.37217	2.60725
4.29	1.3708	2.60464
4.3	1.36943	2.60204
4.31	1.36806	2.59944
4.32	1.3667	2.59684
4.33	1.36533	2.59424
4.34	1.36397	2.59165
4.35	1.3626	2.58906
4.36	1.36124	2.58647
4.37	1.35988	2.58389
4.38	1.35852	2.5813
4.39	1.35716	2.57872
4.4	1.35581	2.57615
4.41	1.35445	2.57357
4.42	1.3531	2.571
4.43	1.35175	2.56843
4.44	1.35039	2.56586
4.45	1.34904	2.5633
4.46	1.3477	2.56074
4.47	1.34635	2.55818
4.48	1.345	2.55562
4.49	1.34366	2.55306
4.5	1.34232	2.55051
4.51	1.34097	2.54796
4.52	1.33963	2.54542
4.53	1.3383	2.54287
4.54	1.33696	2.54033
4.55	1.33562	2.53779
4.56	1.33429	2.53526
4.57	1.33295	2.53272
4.58	1.33162	2.53019
4.59	1.33029	2.52766
4.6	1.32896	2.52513
4.61	1.32763	2.52261
4.62	1.3263	2.52009
4.63	1.32498	2.51757
4.64	1.32365	2.51505
4.65	1.32233	2.51254
4.66	1.32101	2.51003
4.67	1.31969	2.50752
4.68	1.31837	2.50501
4.69	1.31705	2.50251
4.7	1.31574	2.50001
4.71	1.31442	2.49751
4.72	1.31311	2.49501
4.73	1.3118	2.49252
4.74	1.31048	2.49003
4.75	1.30917	2.48754
4.76	1.30787	2.48505
4.77	1.30656	2.48257
4.78	1.30525	2.48009
4.79	1.30395	2.47761
4.8	1.30264	2.47513
4.81	1.30134	2.47266
4.82	1.30004	2.47019
4.83	1.29874	2.46772
4.84	1.29744	2.46525
4.85	1.29615	2.46279
4.86	1.29485	2.46033
4.87	1.29356	2.45787
4.88	1.29227	2.45541
4.89	1.29097	2.45296
4.9	1.28968	2.45051
4.91	1.28839	2.44806
4.92	1.28711	2.44561
4.93	1.28582	2.44317
4.94	1.28453	2.44072
4.95	1.28325	2.43828
4.96	1.28197	2.43585
4.97	1.28069	2.43341
4.98	1.27941	2.43098
4.99	1.27813	2.42855
5	1.27685	6
5.01	1.27558	5.99401
