iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
500	0.015205	1.259	-0.0287045	1.1638	0.15463	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	-0.035974	1.156	-0.061476	0.94369	-0.168583	1.0633	0.12589	1.2938	0.041381	1.2669	5.214400e+00	1.650225e+02	1.702369e+02
501	0.015205	1.259	-0.0287045	1.1638	0.15463	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	-0.035974	1.156	-0.061476	0.94369	-0.15807	1.0633	0.114	1.2938	0.0169501	1.2669	5.560737e+00	1.660076e+02	1.715684e+02
502	0.015205	1.259	-0.0404717	1.1638	0.15463	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	-0.035974	1.156	-0.061476	0.94369	-0.15807	1.0633	0.114	1.29337	0.0169501	1.2669	5.502517e+00	1.666645e+02	1.721670e+02
503	0.015205	1.259	-0.0404717	1.1638	0.138791	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	-0.035974	1.156	-0.0651939	0.94369	-0.171565	1.0633	0.114	1.29337	0.0169501	1.2669	5.438665e+00	1.666366e+02	1.720753e+02
504	0.015205	1.259	-0.0404717	1.1638	0.138791	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	0.00805947	1.156	-0.0651939	0.94369	-0.186943	1.0633	0.114	1.29337	0.0169501	1.2669	5.268030e+00	1.636296e+02	1.688976e+02
505	0.015205	1.259	-0.0404717	1.1638	0.138791	1.4356	-0.0686748	1.1086	0.21736	1.2883	0.0095545	1.1353	0.00805947	1.156	-0.0651939	0.94369	-0.186943	1.0633	0.114	1.29337	0.0169501	1.2669	5.268030e+00	1.636296e+02	1.688976e+02
506	0.015205	1.259	-0.0237894	1.1638	0.138791	1.4356	-0.0761619	1.1086	0.21736	1.2883	0.0095545	1.1353	0.00805947	1.156	-0.0651939	0.94369	-0.186943	1.0633	0.114	1.29337	0.0169501	1.2669	5.281392e+00	1.631977e+02	1.684791e+02
507	0.015205	1.259	-0.0237894	1.1638	0.138791	1.4356	-0.107073	1.1086	0.21736	1.2883	0.0095545	1.1353	0.00805947	1.156	-0.0651939	0.94369	-0.186943	1.0633	0.114	1.2999	0.0169501	1.2669	4.945045e+00	1.595171e+02	1.644622e+02
508	0.015205	1.259	-0.0235057	1.1638	0.138791	1.4356	-0.107073	1.11438	0.21736	1.2883	0.0095545	1.1353	0.00805947	1.156	-0.0651939	0.94369	-0.186943	1.0633	0.114	1.2999	0.0169501	1.2669	4.967479e+00	1.593357e+02	1.643031e+02
509	0.015205	1.259	-0.0235057	1.1638	0.138791	1.4356	-0.107703	1.11438	0.21736	1.2883	0.0149147	1.1353	-0.0227638	1.156	-0.0574018	0.94369	-0.186786	1.0633	0.114	1.2999	0.0169501	1.2669	4.954614e+00	1.611768e+02	1.661315e+02
510	0.015205	1.259	-0.0553887	1.1638	0.138791	1.4356	-0.107703	1.11438	0.21736	1.2883	0.0149147	1.1353	-0.0227638	1.156	-0.0574018	0.94369	-0.186786	1.0633	0.0881966	1.2999	0.0169501	1.2669	5.002005e+00	1.646754e+02	1.696774e+02
511	0.015205	1.259	-0.0553887	1.1638	0.138791	1.4356	-0.107703	1.11438	0.21736	1.2883	0.0149147	1.1353	-0.0227638	1.156	-0.0580798	0.94369	-0.168312	1.0633	0.0715058	1.2999	0.0169501	1.2669	5.461067e+00	1.656704e+02	1.711315e+02
512	0.015205	1.259	-0.0553887	1.1638	0.138791	1.4356	-0.107703	1.11438	0.21736	1.2883	0.0149147	1.1353	-0.0227638	1.156	-0.0580798	0.94369	-0.156953	1.0633	0.0715058	1.2999	0.0169501	1.2669	5.663060e+00	1.654635e+02	1.711266e+02
513	0.015205	1.259	-0.0553887	1.1638	0.164238	1.4356	-0.107703	1.11438	0.21736	1.2883	0.0149147	1.1353	-0.0227638	1.156	-0.0580798	0.94369	-0.156953	1.0633	0.0715058	1.2999	0.02935	1.2669	5.306332e+00	1.655559e+02	1.708623e+02
514	0.015205	1.259	-0.0553887	1.1638	0.164238	1.4356	-0.107703	1.11438	0.21736	1.2883	0.00735664	1.1353	-0.0227638	1.156	-0.0663324	0.94369	-0.155578	1.0633	0.0715058	1.2999	0.02935	1.2669	5.262947e+00	1.660980e+02	1.713609e+02
515	0.015205	1.259	-0.0553887	1.1638	0.140861	1.4356	-0.107703	1.11438	0.245245	1.2883	0.00735664	1.1353	-0.02083	1.156	-0.0663324	0.94369	-0.151374	1.0633	0.0715058	1.2999	0.02935	1.2669	5.059498e+00	1.663004e+02	1.713599e+02
516	0.015205	1.259	-0.0553887	1.1638	0.140861	1.4356	-0.107703	1.11438	0.245245	1.2883	0.00735664	1.1353	-0.02083	1.156	-0.0663324	0.94369	-0.154	1.0633	0.0715058	1.2999	0.00439253	1.2669	5.019556e+00	1.657256e+02	1.707452e+02
517	0.015205	1.259	-0.0553887	1.1638	0.138766	1.4356	-0.107703	1.11438	0.245245	1.2883	0.00735664	1.1353	-0.02083	1.156	-0.0663324	0.94369	-0.133032	1.0633	0.0715058	1.30152	0.00439253	1.2669	5.376781e+00	1.630589e+02	1.684357e+02
518	0.015205	1.259	-0.0388734	1.1638	0.138766	1.4356	-0.107703	1.11438	0.245245	1.2883	0.00735664	1.1353	-0.02083	1.156	-0.0663324	0.94369	-0.133032	1.0633	0.0844372	1.29494	0.00439253	1.2669	5.405014e+00	1.637190e+02	1.691240e+02
519	0.015205	1.259	-0.0534239	1.1638	0.138766	1.4356	-0.107703	1.11438	0.245245	1.2883	0.00735664	1.1353	-0.02083	1.156	-0.0663324	0.94369	-0.140869	1.0633	0.108402	1.29722	0.00439253	1.2669	4.999765e+00	1.647543e+02	1.697541e+02
520	0.015205	1.259	-0.0534239	1.1638	0.126267	1.4356	-0.107703	1.11438	0.245245	1.28706	0.00735664	1.1353	-0.02083	1.156	-0.0592682	0.94369	-0.184764	1.0633	0.0703751	1.29786	0.00439253	1.2669	4.702434e+00	1.638063e+02	1.685087e+02
521	0.015205	1.259	-0.0534239	1.16838	0.127777	1.4356	-0.107703	1.11438	0.232699	1.28706	0.00735664	1.13643	-0.02083	1.15815	-0.0592682	0.94253	-0.184764	1.06915	0.099337	1.30254	0.0213416	1.2669	4.802379e+00	1.612631e+02	1.660655e+02
522	0.015205	1.259	-0.0534239	1.16838	0.127777	1.4356	-0.107703	1.11438	0.232699	1.28706	0.00735664	1.13668	-0.02083	1.15815	-0.073033	0.94253	-0.184764	1.06915	0.0824959	1.30254	0.0213416	1.2669	4.818645e+00	1.633811e+02	1.681997e+02
523	0.015205	1.259	-0.0534239	1.16838	0.12651	1.4356	-0.107703	1.11438	0.232699	1.28706	0.00735664	1.13321	-0.02083	1.15815	-0.073033	0.941751	-0.184764	1.06392	0.0417343	1.30254	0.0213416	1.2669	4.981972e+00	1.625044e+02	1.674863e+02
524	0.015205	1.259	-0.0603884	1.16838	0.151521	1.4356	-0.107703	1.11438	0.229979	1.28706	-0.00857148	1.13902	-0.02083	1.1581	-0.073033	0.941751	-0.171748	1.06392	0.0417343	1.30254	0.0225409	1.2669	4.924406e+00	1.636975e+02	1.686219e+02
525	0.015205	1.259	-0.0603884	1.16838	0.151521	1.4356	-0.107703	1.11438	0.229979	1.28706	-0.00857148	1.13731	-0.02083	1.15833	-0.073033	0.941751	-0.171748	1.06392	0.0801316	1.30254	0.0225409	1.2669	4.744228e+00	1.648123e+02	1.695565e+02
526	0.015205	1.259	-0.0603884	1.16838	0.151521	1.4356	-0.11737	1.11438	0.229979	1.28767	-0.00857148	1.13731	-0.02083	1.15775	-0.073033	0.941751	-0.169514	1.06392	0.0466625	1.30254	0.0225409	1.2669	4.821647e+00	1.652532e+02	1.700749e+02
527	0.015205	1.259	-0.0603884	1.1615	0.153284	1.4356	-0.11737	1.11438	0.229979	1.28767	-0.00857148	1.13809	-0.02083	1.15775	-0.073033	0.944098	-0.169514	1.06392	0.0297195	1.30385	0.00748259	1.2669	4.839378e+00	1.609046e+02	1.657440e+02
