iter	A(1)	B(1)	LnPrior	LnData	LnPosterior
0	-7.62918	4.7604	-6.804772e+00	-1.044027e+06	-1.044034e+06
1	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
2	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
3	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
4	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
5	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
6	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
7	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
8	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
9	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
10	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
11	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
12	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
13	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
14	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
15	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
16	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
17	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
18	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
19	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
20	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
21	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
22	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
23	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
24	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
25	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
26	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
27	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
28	-17.9937	3.54443	-8.094277e+00	-4.093732e+05	-4.093813e+05
29	-17.9937	3.54443	-8.094277e+00	-4.093732e+05	-4.093813e+05
30	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
31	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
32	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
33	-14.8853	3.54443	-7.583281e+00	-2.865622e+05	-2.865697e+05
34	-11.4871	3.54443	-7.135180e+00	-2.495854e+05	-2.495925e+05
35	-11.4871	3.54443	-7.135180e+00	-2.495854e+05	-2.495925e+05
36	-11.4871	3.54443	-7.135180e+00	-2.495854e+05	-2.495925e+05
37	-12.3199	3.54443	-7.234321e+00	-2.492467e+05	-2.492539e+05
38	-12.3199	3.54443	-7.234321e+00	-2.492467e+05	-2.492539e+05
39	-12.3199	3.54443	-7.234321e+00	-2.492467e+05	-2.492539e+05
40	-12.3199	3.54443	-7.234321e+00	-2.492467e+05	-2.492539e+05
41	-11.6117	3.54443	-7.149581e+00	-2.491461e+05	-2.491533e+05
42	-11.6117	3.54443	-7.149581e+00	-2.491461e+05	-2.491533e+05
43	-11.6117	3.54443	-7.149581e+00	-2.491461e+05	-2.491533e+05
44	-11.6117	3.54443	-7.149581e+00	-2.491461e+05	-2.491533e+05
45	-11.6117	3.54443	-7.149581e+00	-2.491461e+05	-2.491533e+05
46	-12.047	3.54443	-7.201074e+00	-2.486853e+05	-2.486925e+05
47	-12.047	3.54443	-7.201074e+00	-2.486853e+05	-2.486925e+05
48	-11.9418	3.54443	-7.188449e+00	-2.486439e+05	-2.486511e+05
49	-11.9418	3.54443	-7.188449e+00	-2.486439e+05	-2.486511e+05
50	-11.9418	2.99147	-7.175908e+00	-1.798567e+05	-1.798638e+05
51	-11.9418	2.99147	-7.175908e+00	-1.798567e+05	-1.798638e+05
52	-11.157	2.99147	-7.085267e+00	-1.635266e+05	-1.635337e+05
53	-10.8648	2.99147	-7.053093e+00	-1.588313e+05	-1.588384e+05
54	-10.3847	2.42119	-6.992353e+00	-1.413820e+05	-1.413890e+05
55	-10.3847	2.42119	-6.992353e+00	-1.413820e+05	-1.413890e+05
56	-10.3847	2.42119	-6.992353e+00	-1.413820e+05	-1.413890e+05
57	-10.3847	2.42119	-6.992353e+00	-1.413820e+05	-1.413890e+05
58	-8.87085	2.42119	-6.846606e+00	-9.749696e+04	-9.750380e+04
59	-8.87085	2.42119	-6.846606e+00	-9.749696e+04	-9.750380e+04
60	-8.87085	2.42119	-6.846606e+00	-9.749696e+04	-9.750380e+04
61	-8.87085	2.42119	-6.846606e+00	-9.749696e+04	-9.750380e+04
62	-8.70292	2.42119	-6.831850e+00	-9.387129e+04	-9.387812e+04
63	-8.45754	2.42119	-6.810796e+00	-8.901973e+04	-8.902654e+04
64	-8.45754	2.42119	-6.810796e+00	-8.901973e+04	-8.902654e+04
65	-8.34538	2.42119	-6.801373e+00	-8.697857e+04	-8.698537e+04
66	-8.34538	2.42119	-6.801373e+00	-8.697857e+04	-8.698537e+04
67	-8.34538	2.42119	-6.801373e+00	-8.697857e+04	-8.698537e+04
68	-7.48858	2.42119	-6.733540e+00	-7.503923e+04	-7.504596e+04
69	-7.48858	2.42119	-6.733540e+00	-7.503923e+04	-7.504596e+04
70	-6.71	2.42119	-6.678267e+00	-6.979224e+04	-6.979892e+04
71	-6.71	2.42119	-6.678267e+00	-6.979224e+04	-6.979892e+04
72	-6.71	2.4071	-6.678068e+00	-6.850110e+04	-6.850778e+04
73	-6.05945	2.4071	-6.636532e+00	-6.780430e+04	-6.781094e+04
74	-6.38473	2.4071	-6.656771e+00	-6.768717e+04	-6.769383e+04
75	-6.38473	2.21643	-6.654270e+00	-5.350120e+04	-5.350786e+04
76	-6.38473	2.21643	-6.654270e+00	-5.350120e+04	-5.350786e+04
77	-4.93505	2.21643	-6.572220e+00	-4.903340e+04	-4.903997e+04
78	-5.0441	2.21643	-6.577661e+00	-4.872623e+04	-4.873280e+04
