Iter	A	B	y_1.1	y_1.2	y_1.3	y_1.4	y_1.5	y_1.6	y_1.7	y_1.8	y_1.9	y_1.10	y_1.11
0	-0.0639933	1.16871	-0.0289654	1.15968	2.32502	3.33289	4.61105	5.6818	6.89044	8.13242	9.27033	10.4522	11.6703
1	0.190495	1.43011	0.206736	1.62363	2.99466	4.45524	5.82479	7.399	8.83554	10.1972	11.6101	13.0017	14.4828
2	-0.0920714	1.10697	-0.161957	1.02337	2.22477	3.16424	4.33978	5.51955	6.55163	7.65898	8.73141	9.886	11.0299
3	0.217453	1.29066	0.273275	1.53654	2.88819	4.06074	5.34282	6.64205	7.84683	9.26832	10.5592	11.823	13.1987
4	0.0104631	1.13273	0.0574323	1.12813	2.30768	3.39417	4.56236	5.73035	6.79274	8.01933	9.00732	10.1521	11.3971
5	0.0226529	1.14818	-0.0490026	1.1069	2.35073	3.45157	4.60029	5.78555	6.91613	8.04021	9.27462	10.3597	11.467
6	-0.0381	0.937429	-0.0611812	0.881003	1.70955	2.87582	3.66105	4.60691	5.54883	6.57964	7.56341	8.36853	9.31566
7	-0.187775	1.06892	-0.230372	0.959354	1.9551	2.95323	4.02194	5.22346	6.25444	7.24072	8.42794	9.36709	10.4741
8	0.0900753	1.29186	0.181999	1.3792	2.68779	3.92719	5.30783	6.58663	7.78922	9.21338	10.4933	11.7726	13.0247
9	0.0439633	1.26495	-0.0143451	1.33543	2.52422	3.92271	5.15664	6.2847	7.65199	8.85981	10.0816	11.4262	12.71
