iter	T2	T5	T10	T15	T19	T21	T22	T24	T26	T28	T32	T38	T44	T50	T54	Chosen	Variance	SD	Utility
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263616	0.513436	0
1	0.223087	0.220351	0.214409	0.212663	0.211878	0.211818	0.210546	0.259923	0.24845	0.253062	0.240751	0.182915	0.20809	0.188427	0.205644	12	0.182915	0.427686	0
2	0.159059	0.152938	0.159076	0.159131	0.156358	0.16163	0.152223	0.223813	0.182192	0.198121	0.200753	0	0.177449	0.156432	0.176943	7	0.152223	0.390158	0
3	0.115028	0.116152	0.139449	0.121566	0.149824	0.142292	0	0.148641	0.1709	0.16511	0.180591	0	0.180655	0.153374	0.148097	1	0.115028	0.339158	0
4	0	0.0982901	0.109247	0.110226	0.120733	0.108436	0	0.102058	0.127747	0.108194	0.119854	0	0.130132	0.107455	0.0970673	15	0.0970673	0.311556	0
5	0	0.0847939	0.0960538	0.0855831	0.11707	0.0866184	0	0.0889404	0.117137	0.120762	0.108019	0	0.101619	0.0975733	0	2	0.0847939	0.291194	0
6	0	0	0.0843045	0.0765703	0.0995083	0.0686846	0	0.0654425	0.101992	0.0985183	0.0952793	0	0.0858036	0.0843387	0	8	0.0654425	0.255817	0
7	0	0	0.0712335	0.05444	0.0715299	0.0415933	0	0	0.0775825	0.0980999	0.0574111	0	0.0534844	0.055217	0	6	0.0415933	0.203944	0
8	0	0	0.0374968	0.0430919	0.0415755	0	0	0	0.0329659	0.0642453	0.0448429	0	0.0265029	0.0288473	0	13	0.0265029	0.162797	0
9	0	0	0.0243921	0.0249595	0.030222	0	0	0	0.0140968	0.0510423	0.0234753	0	0	0.0177257	0	9	0.0140968	0.11873	0
10	0	0	0.0087099	0.0152202	0.0122477	0	0	0	0	0.0114044	0.0977943	0	0	0.0183187	0	3	0.0087099	0.0933268	0
11	0	0	0	0.00894547	0.00830961	0	0	0	0	0.00855105	0.0914299	0	0	0.0115227	0	5	0.00830961	0.0911571	0
12	0	0	0	0.00863201	0	0	0	0	0	0.00857085	0.0940892	0	0	0.0106581	0	10	0.00857085	0.0925789	0
13	0	0	0	0.00956055	0	0	0	0	0	0	0.0704055	0	0	0.0110483	0	4	0.00956055	0.0977781	0
14	0	0	0	0	0	0	0	0	0	0	0.0713296	0	0	0.0117971	0	14	0.0117971	0.108615	0
15	0	0	0	0	0	0	0	0	0	0	0.0634558	0	0	0	0	11	0.0634558	0.251904	0
