Results of Simulation 1

Time	theta_1	theta_2
0	3	0
0.2	3.15423	0.345765
0.4	3.26502	0.734979
0.6	3.32327	1.17673
0.8	3.33681	1.66319
1	3.34088	2.15912
1.2	3.37809	2.62191
1.4	3.46785	3.03215
1.6	3.60574	3.39426
1.8	3.77975	3.72025
2	3.97874	4.02126
2.2	4.19453	4.30547
2.4	4.42154	4.57846
2.6	4.65605	4.84395
2.8	4.89559	5.10441
3	5.13852	5.36148
3.2	5.38374	5.61626
3.4	5.6305	5.8695
3.6	5.8783	6.1217
3.8	6.12681	6.37319
4	6.37579	6.62421
4.2	6.6251	6.8749
4.4	6.87463	7.12537
4.6	7.12432	7.37568
4.8	7.37411	7.62589
5	7.62396	7.87604
5.2	7.87386	8.12614
5.4	8.1238	8.3762
5.6	8.37375	8.62625
5.8	8.62372	8.87628
6	8.8737	9.1263
6.2	9.12369	9.37631
6.4	9.37368	9.62632
6.6	9.62368	9.87632
6.8	9.87367	10.1263
7	10.1237	10.3763
7.2	10.3737	10.6263
7.4	10.6237	10.8763
7.6	10.8737	11.1263
7.8	11.1237	11.3763
8	11.3737	11.6263
8.2	11.6237	11.8763
8.4	11.8737	12.1263
8.6	12.1237	12.3763
8.8	12.3737	12.6263
9	12.6237	12.8763
9.2	12.8737	13.1263
9.4	13.1237	13.3763
9.6	13.3737	13.6263
9.8	13.6237	13.8763
10	13.8737	14.1263
10.2	14.1237	14.3763
10.4	14.3737	14.6263
10.6	14.6237	14.8763
10.8	14.8737	15.1263
11	15.1237	15.3763
11.2	15.3737	15.6263
11.4	15.6237	15.8763
11.6	15.8737	16.1263
11.8	16.1237	16.3763
12	16.3737	16.6263
12.2	16.6237	16.8763
12.4	16.8737	17.1263
12.6	17.1237	17.3763
12.8	17.3737	17.6263
13	17.6237	17.8763
13.2	17.8737	18.1263
13.4	18.1237	18.3763
13.6	18.3737	18.6263
13.8	18.6237	18.8763
14	18.8737	19.1263
14.2	19.1237	19.3763
14.4	19.3737	19.6263
14.6	19.6237	19.8763
14.8	19.8737	20.1263
15	20.1237	20.3763
15.2	20.3737	20.6263
15.4	20.6237	20.8763
15.6	20.8737	21.1263
15.8	21.1237	21.3763
16	21.3737	21.6263
16.2	21.6237	21.8763
16.4	21.8737	22.1263
16.6	22.1237	22.3763
16.8	22.3737	22.6263
17	22.6237	22.8763
17.2	22.8737	23.1263
17.4	23.1237	23.3763
17.6	23.3737	23.6263
17.8	23.6237	23.8763
18	23.8737	24.1263
18.2	24.1237	24.3763
18.4	24.3737	24.6263
18.6	24.6237	24.8763
18.8	24.8737	25.1263
19	25.1237	25.3763
19.2	25.3737	25.6263
19.4	25.6237	25.8763
19.6	25.8737	26.1263
19.8	26.1237	26.3763
20	26.3737	26.6263
20.2	26.6237	26.8763
20.4	26.8737	27.1263
20.6	27.1237	27.3763
20.8	27.3737	27.6263
21	27.6237	27.8763
21.2	27.8737	28.1263
21.4	28.1237	28.3763
21.6	28.3737	28.6263
21.8	28.6237	28.8763
22	28.8737	29.1263
22.2	29.1237	29.3763
22.4	29.3737	29.6263
22.6	29.6237	29.8763
22.8	29.8737	30.1263
23	30.1237	30.3763
23.2	30.3737	30.6263
23.4	30.6237	30.8763
23.6	30.8737	31.1263
23.8	31.1237	31.3763
24	31.3737	31.6263
24.2	31.6237	31.8763
24.4	31.8737	32.1263
24.6	32.1237	32.3763
24.8	32.3737	32.6263
25	32.6237	32.8763
25.2	32.8737	33.1263
25.4	33.1237	33.3763
25.6	33.3737	33.6263
25.8	33.6237	33.8763
26	33.8737	34.1263
26.2	34.1237	34.3763
26.4	34.3737	34.6263
26.6	34.6237	34.8763
26.8	34.8737	35.1263
27	35.1237	35.3763
27.2	35.3737	35.6263
27.4	35.6237	35.8763
27.6	35.8737	36.1263
27.8	36.1237	36.3763
28	36.3737	36.6263
28.2	36.6237	36.8763
28.4	36.8737	37.1263
28.6	37.1237	37.3763
28.8	37.3737	37.6263
29	37.6237	37.8763
29.2	37.8737	38.1263
29.4	38.1237	38.3763
29.6	38.3737	38.6263
29.8	38.6237	38.8763
30	38.8737	39.1263
30.2	39.1237	39.3763
30.4	39.3737	39.6263
30.6	39.6237	39.8763
30.8	39.8737	40.1263
31	40.1237	40.3763
31.2	40.3737	40.6263
31.4	40.6237	40.8763
31.6	40.8737	41.1263
31.8	41.1237	41.3763
32	41.3737	41.6263
32.2	41.6237	41.8763
32.4	41.8737	42.1263
32.6	42.1237	42.3763
32.8	42.3737	42.6263
33	42.6237	42.8763
33.2	42.8737	43.1263
33.4	43.1237	43.3763
33.6	43.3737	43.6263
33.8	43.6237	43.8763
34	43.8737	44.1263
34.2	44.1237	44.3763
34.4	44.3737	44.6263
34.6	44.6237	44.8763
34.8	44.8737	45.1263
35	45.1237	45.3763
35.2	45.3737	45.6263
35.4	45.6237	45.8763
35.6	45.8737	46.1263
35.8	46.1237	46.3763
36	46.3737	46.6263
36.2	46.6237	46.8763
36.4	46.8737	47.1263
36.6	47.1237	47.3763
36.8	47.3737	47.6263
37	47.6237	47.8763
37.2	47.8737	48.1263
37.4	48.1237	48.3763
37.6	48.3737	48.6263
37.8	48.6237	48.8763
38	48.8737	49.1263
38.2	49.1237	49.3763
38.4	49.3737	49.6263
38.6	49.6237	49.8763
38.8	49.8737	50.1263
39	50.1237	50.3763
39.2	50.3737	50.6263
39.4	50.6237	50.8763
39.6	50.8737	51.1263
39.8	51.1237	51.3763
40	51.3737	51.6263
40.2	51.6237	51.8763
40.4	51.8737	52.1263
40.6	52.1237	52.3763
40.8	52.3737	52.6263
41	52.6237	52.8763
41.2	52.8737	53.1263
41.4	53.1237	53.3763
41.6	53.3737	53.6263
41.8	53.6237	53.8763
42	53.8737	54.1263
42.2	54.1237	54.3763
42.4	54.3737	54.6263
42.6	54.6237	54.8763
42.8	54.8737	55.1263
43	55.1237	55.3763
43.2	55.3737	55.6263
43.4	55.6237	55.8763
43.6	55.8737	56.1263
43.8	56.1237	56.3763
44	56.3737	56.6263
44.2	56.6237	56.8763
44.4	56.8737	57.1263
44.6	57.1237	57.3763
44.8	57.3737	57.6263
45	57.6237	57.8763
45.2	57.8737	58.1263
45.4	58.1237	58.3763
45.6	58.3737	58.6263
45.8	58.6237	58.8763
46	58.8737	59.1263
46.2	59.1237	59.3763
46.4	59.3737	59.6263
46.6	59.6237	59.8763
46.8	59.8737	60.1263
47	60.1237	60.3763
47.2	60.3737	60.6263
47.4	60.6237	60.8763
47.6	60.8737	61.1263
47.8	61.1237	61.3763
48	61.3737	61.6263
48.2	61.6237	61.8763
48.4	61.8737	62.1263
48.6	62.1237	62.3763
48.8	62.3737	62.6263
49	62.6237	62.8763
49.2	62.8737	63.1263
49.4	63.1237	63.3763
49.6	63.3737	63.6263
49.8	63.6237	63.8763
50	63.8737	64.1263
50.2	64.1237	64.3763
50.4	64.3737	64.6263
50.6	64.6237	64.8763
50.8	64.8737	65.1263
51	65.1237	65.3763
51.2	65.3737	65.6263
51.4	65.6237	65.8763
51.6	65.8737	66.1263
51.8	66.1237	66.3763
52	66.3737	66.6263
52.2	66.6237	66.8763
52.4	66.8737	67.1263
52.6	67.1237	67.3763
52.8	67.3737	67.6263
53	67.6237	67.8763
53.2	67.8737	68.1263
53.4	68.1237	68.3763
53.6	68.3737	68.6263
53.8	68.6237	68.8763
54	68.8737	69.1263
54.2	69.1237	69.3763
54.4	69.3737	69.6263
54.6	69.6237	69.8763
54.8	69.8737	70.1263
55	70.1237	70.3763
55.2	70.3737	70.6263
55.4	70.6237	70.8763
55.6	70.8737	71.1263
55.8	71.1237	71.3763
56	71.3737	71.6263
56.2	71.6237	71.8763
56.4	71.8737	72.1263
56.6	72.1237	72.3763
56.8	72.3737	72.6263
57	72.6237	72.8763
57.2	72.8737	73.1263
57.4	73.1237	73.3763
57.6	73.3737	73.6263
57.8	73.6237	73.8763
58	73.8737	74.1263
58.2	74.1237	74.3763
58.4	74.3737	74.6263
58.6	74.6237	74.8763
58.8	74.8737	75.1263
59	75.1237	75.3763
59.2	75.3737	75.6263
59.4	75.6237	75.8763
59.6	75.8737	76.1263
59.8	76.1237	76.3763
60	76.3737	76.6263
60.2	76.6237	76.8763
60.4	76.8737	77.1263
60.6	77.1237	77.3763
60.8	77.3737	77.6263
61	77.6237	77.8763
61.2	77.8737	78.1263
61.4	78.1237	78.3763
61.6	78.3737	78.6263
61.8	78.6237	78.8763
62	78.8737	79.1263
62.2	79.1237	79.3763
62.4	79.3737	79.6263
62.6	79.6237	79.8763
62.8	79.8737	80.1263
63	80.1237	80.3763
63.2	80.3737	80.6263
63.4	80.6237	80.8763
63.6	80.8737	81.1263
63.8	81.1237	81.3763
64	81.3737	81.6263
64.2	81.6237	81.8763
64.4	81.8737	82.1263
64.6	82.1237	82.3763
64.8	82.3737	82.6263
65	82.6237	82.8763
65.2	82.8737	83.1263
65.4	83.1237	83.3763
65.6	83.3737	83.6263
65.8	83.6237	83.8763
66	83.8737	84.1263
66.2	84.1237	84.3763
66.4	84.3737	84.6263
66.6	84.6237	84.8763
66.8	84.8737	85.1263
67	85.1237	85.3763
67.2	85.3737	85.6263
67.4	85.6237	85.8763
67.6	85.8737	86.1263
67.8	86.1237	86.3763
68	86.3737	86.6263
68.2	86.6237	86.8763
68.4	86.8737	87.1263
68.6	87.1237	87.3763
68.8	87.3737	87.6263
69	87.6237	87.8763
69.2	87.8737	88.1263
69.4	88.1237	88.3763
69.6	88.3737	88.6263
69.8	88.6237	88.8763
70	88.8737	89.1263
70.2	89.1237	89.3763
70.4	89.3737	89.6263
70.6	89.6237	89.8763
70.8	89.8737	90.1263
71	90.1237	90.3763
71.2	90.3737	90.6263
71.4	90.6237	90.8763
71.6	90.8737	91.1263
71.8	91.1237	91.3763
72	91.3737	91.6263
72.2	91.6237	91.8763
72.4	91.8737	92.1263
72.6	92.1237	92.3763
72.8	92.3737	92.6263
73	92.6237	92.8763
73.2	92.8737	93.1263
73.4	93.1237	93.3763
73.6	93.3737	93.6263
73.8	93.6237	93.8763
74	93.8737	94.1263
74.2	94.1237	94.3763
74.4	94.3737	94.6263
74.6	94.6237	94.8763
74.8	94.8737	95.1263
75	95.1237	95.3763
75.2	95.3737	95.6263
75.4	95.6237	95.8763
75.6	95.8737	96.1263
75.8	96.1237	96.3763
76	96.3737	96.6263
76.2	96.6237	96.8763
76.4	96.8737	97.1263
76.6	97.1237	97.3763
76.8	97.3737	97.6263
77	97.6237	97.8763
77.2	97.8737	98.1263
77.4	98.1237	98.3763
77.6	98.3737	98.6263
77.8	98.6237	98.8763
78	98.8737	99.1263
78.2	99.1237	99.3763
78.4	99.3737	99.6263
78.6	99.6237	99.8763
78.8	99.8737	100.126
79	100.124	100.376
79.2	100.374	100.626
79.4	100.624	100.876
79.6	100.874	101.126
79.8	101.124	101.376
80	101.374	101.626
80.2	101.624	101.876
80.4	101.874	102.126
