Results of Experiment 1

Time	y_x_0	y_x_1	y_x_2	y_x_3	y_x_4	y_x_5	y_x_6	y_x_7	y_x_8	y_x_9	y_x_10	y_x_11	y_x_12	y_x_13	y_x_14	y_x_15	y_x_16	y_x_17	y_x_18	y_x_19
0	0	0.19	0.36	0.51	0.64	0.75	0.84	0.91	0.96	0.99	1	0.99	0.96	0.91	0.84	0.75	0.64	0.51	0.36	0.19
0.5	-0.0190487	0.171926	0.343901	0.4959	0.6279	0.7399	0.8319	0.9039	0.9559	0.9879	0.9999	0.9919	0.9639	0.9159	0.8479	0.7599	0.6519	0.523899	0.375924	0.206949
1	-0.0381926	0.153708	0.327604	0.4816	0.6156	0.7296	0.8236	0.8976	0.9516	0.9856	0.9996	0.9936	0.9676	0.9216	0.8556	0.7696	0.6636	0.537597	0.391693	0.223793
1.5	-0.0574263	0.135349	0.311113	0.467101	0.6031	0.7191	0.8151	0.8911	0.9471	0.9831	0.9991	0.9951	0.9711	0.9271	0.8631	0.7791	0.6751	0.551089	0.407302	0.240526
2	-0.0767454	0.116856	0.29443	0.452402	0.5904	0.7084	0.8064	0.8844	0.9424	0.9804	0.9984	0.9964	0.9744	0.9324	0.8704	0.7884	0.686401	0.564376	0.422747	0.257145
2.5	-0.0961448	0.0982336	0.27756	0.437504	0.5775	0.6975	0.7975	0.8775	0.9375	0.9775	0.9975	0.9975	0.9775	0.9375	0.8775	0.7975	0.697503	0.577454	0.438023	0.273645
3	-0.115619	0.0794875	0.260505	0.422408	0.5644	0.6864	0.7884	0.8704	0.9324	0.9744	0.9964	0.9984	0.9804	0.9424	0.8844	0.8064	0.708406	0.590323	0.453126	0.290019
3.5	-0.135165	0.0606231	0.243269	0.407115	0.551101	0.6751	0.7791	0.8631	0.9271	0.9711	0.9951	0.9991	0.9831	0.9471	0.8911	0.815099	0.719111	0.602982	0.468052	0.306265
4	-0.154775	0.041646	0.225857	0.391625	0.537602	0.6636	0.7696	0.8556	0.9216	0.9676	0.9936	0.9996	0.9856	0.9516	0.8976	0.823598	0.729618	0.615429	0.482797	0.322375
4.5	-0.174447	0.0225617	0.208272	0.37594	0.523904	0.6519	0.7599	0.8479	0.9159	0.9639	0.9919	0.9999	0.9879	0.9559	0.9039	0.831897	0.739928	0.627664	0.497356	0.338347
5	-0.194176	0.00337584	0.19052	0.360062	0.510006	0.640001	0.75	0.84	0.91	0.96	0.99	1	0.99	0.96	0.91	0.839996	0.750042	0.639686	0.511727	0.354176
5.5	-0.213956	-0.0159061	0.172605	0.343992	0.49591	0.627901	0.7399	0.8319	0.9039	0.9559	0.9879	0.9999	0.9919	0.9639	0.915901	0.847893	0.759959	0.651495	0.525906	0.369856
6	-0.233784	-0.0352785	0.154532	0.327733	0.481615	0.615602	0.7296	0.8236	0.8976	0.9516	0.9856	0.9996	0.9936	0.9676	0.921601	0.85559	0.769682	0.663091	0.53989	0.385384
6.5	-0.253656	-0.0547359	0.136306	0.311285	0.467123	0.603102	0.7191	0.8151	0.8911	0.9471	0.9831	0.9991	0.9951	0.9711	0.927102	0.863085	0.779209	0.674474	0.553676	0.400756
7	-0.273567	-0.0742729	0.117932	0.294652	0.452434	0.590404	0.7084	0.8064	0.8844	0.9424	0.9804	0.9984	0.9964	0.9744	0.932403	0.870379	0.788543	0.685645	0.567261	0.415967
7.5	-0.293513	-0.093884	0.0994154	0.277836	0.437548	0.577506	0.697501	0.7975	0.8775	0.9375	0.9775	0.9975	0.9975	0.9775	0.937504	0.877471	0.797683	0.696603	0.580643	0.431013
8	-0.313492	-0.113564	0.0807618	0.260839	0.422467	0.564409	0.686401	0.7884	0.8704	0.9324	0.9744	0.9964	0.9984	0.980399	0.942405	0.884361	0.80663	0.707349	0.593819	0.445892
8.5	-0.333498	-0.133308	0.0619769	0.243666	0.407192	0.551113	0.675101	0.7791	0.8631	0.9271	0.9711	0.9951	0.9991	0.983099	0.947108	0.891048	0.815384	0.717884	0.606788	0.460598
9	-0.353529	-0.15311	0.0430664	0.226319	0.391723	0.537618	0.663602	0.7696	0.8556	0.9216	0.9676	0.9936	0.9996	0.985599	0.951611	0.897533	0.823946	0.728209	0.619547	0.475129
9.5	-0.373581	-0.172965	0.024036	0.208802	0.376062	0.523925	0.651903	0.7599	0.8479	0.9159	0.9639	0.9919	0.9999	0.987898	0.955914	0.903815	0.832317	0.738324	0.632096	0.489481
10	-0.393651	-0.19287	0.00489164	0.191118	0.360211	0.510034	0.640005	0.750001	0.84	0.91	0.96	0.99	1	0.989997	0.960019	0.909893	0.840496	0.748231	0.644431	0.503651

