Results of Simulation 1

Time	C_inh	Q_ing	C_liv	C_ven	C_exh	C_exh_ug	Q_met	Pct_metabolized
0	1	1	0	0	0.00244495	2.44495	0	0
1	1	0	0.0065399	0.000595922	0.0024767	2.4767	0.000236955	0.000433539
2499	1	0	0.159443	0.0361074	0.00436848	4.36848	19.8543	36.326
2500	0	0	0.159453	0.0361101	0.00192368	1.92368	19.8633	36.3424
2501	0	0	0.152922	0.0355166	0.00189206	1.89206	19.8721	36.3585
3999	0	0	0.0216931	0.00613332	0.000326737	0.326737	23.3413	42.7058
4000	0	1	0.0216891	0.00613221	0.000326678	0.326678	23.3428	42.7085
4001	0	0	0.0216852	0.0061311	0.000326619	0.326619	23.3443	42.7112
4999	0	0	0.0182782	0.00517258	0.000275556	0.275556	24.7083	45.207
5000	1	0	0.0182752	0.00517171	0.00272046	2.72046	24.7096	45.2093
5001	1	0	0.024816	0.00576708	0.00275218	2.75218	24.7111	45.212
9999	1	0	0.190503	0.0443659	0.00480843	4.80843	71.3922	130.621
10000	1	0	0.190509	0.0443674	0.00480851	4.80851	71.4024	130.64


