Results of Simulation 1

Time	C_exh_ug	C_ven
239.9	282.583	2.00004
245	97.7477	
270	78.5066	
360	45.4836	0.853792
1320	4.26818	0.0801199
2760	2.91302	0.0546816
4260	2.26172	0.0424558
5700	1.77494	0.0333181
8580	1.09405	0.0205368
10020	0.859296	0.0161302


Results of Simulation 2

Time	C_exh_ug	C_ven
239.9	567.105	4.03645
245	197.445	
270	158.998	
360	93.0166	1.74605
1320	9.24262	0.173497
2760	6.25798	0.117471
4260	4.86446	0.091313
5700	3.81849	0.0716785
8580	2.35118	0.0441349
10020	1.84509	0.034635


