iter	a(1)	b(1)	c(1)	LnPrior	LnData	LnPosterior
0	0.355133	8.7123	52.7325	-9.903488e+00	-4.000000e+100	-4.000000e+100
50	5.07392	6.32452	-70.8269	-9.903488e+00	-3.598917e+02	-3.697952e+02
100	5.33049	5.41342	-69.8895	-9.903488e+00	-2.054754e+02	-2.153789e+02
150	5.51459	4.66601	-69.3003	-9.903488e+00	-1.188999e+02	-1.288034e+02
200	5.66202	4.0535	-68.8483	-9.903488e+00	-7.239288e+01	-8.229637e+01
250	5.84394	3.42972	-68.3348	-9.903488e+00	-4.130813e+01	-5.121162e+01
300	5.84463	3.31453	-67.9721	-9.903488e+00	-3.868139e+01	-4.858488e+01
350	5.91985	3.07712	-67.8544	-9.903488e+00	-3.489182e+01	-4.479530e+01
400	5.96065	3.03835	-68.1236	-9.903488e+00	-3.456178e+01	-4.446527e+01
450	5.8949	3.18049	-68.06	-9.903488e+00	-3.634640e+01	-4.624988e+01
500	5.90503	2.93593	-67.1968	-9.903488e+00	-3.436730e+01	-4.427079e+01
550	5.9088	2.88943	-67.2569	-9.903488e+00	-3.468537e+01	-4.458886e+01
600	5.91281	3.15334	-68.1379	-9.903488e+00	-3.588788e+01	-4.579137e+01
650	5.97581	3.03035	-68.2779	-9.903488e+00	-3.447803e+01	-4.438152e+01
700	5.98089	3.00387	-68.2034	-9.903488e+00	-3.440144e+01	-4.430493e+01
750	 6.05	2.77285	-68.1855	-9.903488e+00	-3.523640e+01	-4.513989e+01
800	6.00934	3.00557	-68.5439	-9.903488e+00	-3.442492e+01	-4.432841e+01
850	5.89637	3.01832	-67.4292	-9.903488e+00	-3.450065e+01	-4.440413e+01
900	5.921	3.04352	-67.6518	-9.903488e+00	-3.547731e+01	-4.538079e+01
950	5.87533	3.04554	-67.2519	-9.903488e+00	-3.512173e+01	-4.502522e+01
1000	5.98906	2.94845	-68.1657	-9.903488e+00	-3.431763e+01	-4.422112e+01
1050	6.04574	2.76197	-68.0247	-9.903488e+00	-3.520809e+01	-4.511157e+01
1100	6.0649	2.7259	-68.0795	-9.903488e+00	-3.572719e+01	-4.563068e+01
1150	6.06975	2.89716	-68.5757	-9.903488e+00	-3.591109e+01	-4.581457e+01
1200	6.21191	2.55873	-68.786	-9.903488e+00	-4.206498e+01	-5.196847e+01
1250	6.09346	2.65142	-68.3341	-9.903488e+00	-3.856425e+01	-4.846774e+01
1300	6.04401	2.82433	-68.2761	-9.903488e+00	-3.474704e+01	-4.465053e+01
1350	5.98066	2.88813	-67.8018	-9.903488e+00	-3.431980e+01	-4.422329e+01
1400	5.99038	2.82799	-67.712	-9.903488e+00	-3.447522e+01	-4.437871e+01
1450	5.92177	3.00761	-67.662	-9.903488e+00	-3.438224e+01	-4.428573e+01
1500	5.94571	2.71622	-67.1508	-9.903488e+00	-3.753348e+01	-4.743696e+01
1550	5.97116	2.89305	-67.8481	-9.903488e+00	-3.454506e+01	-4.444855e+01
1600	5.91289	3.0583	-67.9089	-9.903488e+00	-3.600533e+01	-4.590881e+01
1650	5.92075	3.08705	-67.9736	-9.903488e+00	-3.505892e+01	-4.496241e+01
1700	5.92134	3.00536	-67.7255	-9.903488e+00	-3.461333e+01	-4.451682e+01
1750	5.93763	2.98641	-67.8669	-9.903488e+00	-3.497144e+01	-4.487493e+01
1800	6.025	2.8902	-68.2583	-9.903488e+00	-3.438654e+01	-4.429003e+01
1850	6.04841	2.76575	-68.0375	-9.903488e+00	-3.531153e+01	-4.521502e+01
1900	6.01009	3.04796	-68.4888	-9.903488e+00	-3.614475e+01	-4.604824e+01
1950	 5.99	2.96485	-68.1307	-9.903488e+00	-3.444436e+01	-4.434785e+01
2000	5.96423	3.10149	-68.368	-9.903488e+00	-3.500830e+01	-4.491179e+01
2050	6.01479	3.06025	-68.7729	-9.903488e+00	-3.464565e+01	-4.454914e+01
2100	5.99881	2.87513	-67.9404	-9.903488e+00	-3.437814e+01	-4.428163e+01
2150	6.04516	3.02045	-68.9742	-9.903488e+00	-3.464956e+01	-4.455305e+01
2200	6.02335	3.14057	-69.0752	-9.903488e+00	-3.522490e+01	-4.512839e+01
2250	6.0786	3.10355	-69.6411	-9.903488e+00	-3.565827e+01	-4.556176e+01
2300	6.08251	3.1292	-69.5692	-9.903488e+00	-3.525510e+01	-4.515858e+01
2350	6.13545	2.7249	-68.7997	-9.903488e+00	-3.617419e+01	-4.607768e+01
2400	6.03507	2.89445	-68.2655	-9.903488e+00	-3.524246e+01	-4.514595e+01
2450	5.97459	2.95175	-68.0312	-9.903488e+00	-3.428172e+01	-4.418521e+01
2500	5.97506	2.77414	-67.3136	-9.903488e+00	-3.514214e+01	-4.504563e+01
2550	5.95675	2.94695	-67.9105	-9.903488e+00	-3.475445e+01	-4.465794e+01
2600	5.98921	2.87129	-67.7037	-9.903488e+00	-3.574719e+01	-4.565068e+01
2650	5.91842	2.82179	-66.9398	-9.903488e+00	-3.450077e+01	-4.440426e+01
2700	5.92864	2.80803	-67.1061	-9.903488e+00	-3.435028e+01	-4.425377e+01
