Iter	x_beta	x_binomial	x_binomialbeta	x_cauchy	x_chi2	x_exp	x_gamma	x_genlognormal	x_halfcauchy	x_halfnorm	x_invgamma	x_lognorm	x_lognormv	x_logunif	x_norm	x_normv	x_piecewise	x_poisson	x_studentt	x_truncinvgamma	x_trunclognorm	x_trunclognormv	x_truncnorm	x_truncnormv	x_unif	dummy_1.1
0	4.60945	6	1	1.53925	4.11897	1.48315	0.494362	-1.93447e+15	0.366504	0.637854	0.575417	1.07469	2.60581	1.58236	0.0836518	2.49994	0.904176	0	1.64882	2.71232	0.623462	3.47575	-1.02643	-0.682532	0.118464	0
1	4.92826	5	0	0.207031	1.47614	1.12268	2.35948	-2.59076e+09	1.45395	0.0704753	0.777643	1.47781	3.37874	8.5771	-1.13838	-1.64321	0.656474	2	6.10542	2.49461	0.975328	0.755407	-0.697419	-0.45578	0.256164	0
2	2.48585	5	1	-0.250511	3.43717	0.185169	2.8623	1.60981e+29	0.835541	1.08015	4.88722	2.46273	2.98606	1.60492	0.939103	2.70412	2.10662	1	1.57895	5.90076	0.95912	8.68543	1.891	-0.0445898	0.916119	0
3	2.64072	7	1	2.51845	3.0276	0.286248	1.63937	-1.05264e+45	1.12364	0.332067	1.29193	0.48296	0.413566	2.59677	-0.773027	-0.255158	2.23734	0	10.7038	2.70698	0.798306	1.4291	1.10123	0.967112	0.0271425	0
4	3.19781	7	1	0.769181	2.01063	1.7105	2.06587	-6.08046	0.832427	0.425911	3.12832	1.19548	2.70245	7.80115	0.887142	-0.732078	2.43584	1	7.43745	1.82875	1.20776	0.879985	-1.07116	-0.130339	0.311627	0
5	4.21551	7	0	2.17025	1.64167	1.75705	1.60284	-1.94029e+23	4.31263	0.179197	4.92221	0.23131	1.02379	6.88688	0.114719	2.53527	2.08686	1	4.2962	3.63276	0.59691	2.07165	-0.762301	0.260602	0.948374	0
6	1.71253	4	2	6.02919	4.24357	0.255846	1.48415	6.36858e+37	0.412187	0.464366	1.40326	1.17952	0.361997	1.2154	0.778123	0.23327	1.16603	3	1.42449	1.33591	1.28408	1.40433	-1.82413	-0.256861	0.173973	0
7	2.24292	4	1	0.133269	5.80753	1.20773	0.677584	8.8358e+57	1.13954	1.20257	0.766602	1.67919	0.593221	4.52831	-0.254315	-0.344359	1.98563	1	3.10546	1.75815	0.76818	3.11599	1.36522	-1.23648	0.75382	0
8	2.63668	7	1	2.6909	1.12262	0.295955	0.852148	21.6602	1.66165	0.15563	0.587203	1.4261	0.0631881	1.23786	-0.688221	-1.78367	0.185723	3	0.299458	2.24339	1.17545	0.883704	-0.235256	0.696194	0.662492	0
9	3.1553	8	1	-3.51425	3.20582	0.874873	3.88291	1.37498e+27	0.926474	0.554003	1.22843	3.04466	1.24	1.24538	1.21105	-1.70224	1.44378	0	0.1661	3.0613	0.70751	2.03538	0.836346	-0.19984	0.244987	0
